Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,PD_cumulative,SOLO_cumulative,TOT_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season,PD_final_season,SOLO_final_season,TOT_final_season,speed_score,explosive_score,agility_score
1,17,Dallas Turner,LB,Alabama,2024,76.0,244.0,4.46,40.5,,125,,,23.5,33.5,26.0,1.0,58.0,120.0,11.0,15.5,13.0,1.0,28.0,53.0,,,
2,45,Edgerrin Cooper,LB,Texas A&M,2024,75.0,230.0,4.51,34.5,,122,,,10.0,32.0,16.0,8.0,114.0,204.0,9.5,18.5,9.0,2.0,42.0,83.0,,,
2,52,Junior Colson,LB,Michigan,2024,74.0,238.0,4.58,34,,120,,,2.5,8.5,6.0,4.0,102.0,229.0,0.0,2.0,2.0,2.0,40.0,89.0,,,
3,72,Trevin Wallace,LB,Kentucky,2024,73.0,237.0,4.51,37.5,,126,,,10.0,18.5,5.0,1.0,89.0,160.0,5.5,8.5,3.0,0.0,45.0,80.0,,,
3,98,Payton Wilson,LB,NC State,2024,75.0,233.0,4.43,34.5,,119,,,15.0,47.0,24.0,13.0,201.0,395.0,6.0,17.5,10.0,6.0,69.0,138.0,,,
3,87,Marist Liufau,LB,Notre Dame,2024,74.0,239.0,4.64,30,,120,,,4.0,11.0,4.0,2.0,51.0,113.0,3.0,6.0,2.0,1.0,21.0,42.0,,,
4,114,Jaylan Ford,LB,Texas,2024,73.0,236.0,4.73,33.5,,118,,,3.0,27.5,9.0,4.0,137.0,272.0,1.0,10.5,6.0,2.0,46.0,96.0,,,
4,118,Tyrice Knight,LB,UTEP,2024,73.0,233.0,4.63,35.5,,121,,,7.5,29.0,10.0,14.0,188.0,353.0,3.5,13.0,3.0,6.0,63.0,113.0,,,
5,149,Edefuan Ulofoshio,LB,Washington,2024,72.0,236.0,4.56,39.5,,125,,,7.0,15.0,1.0,7.0,147.0,243.0,3.0,8.0,0.0,2.0,58.0,90.0,,,
5,160,Steele Chambers,LB,Ohio State,2024,74.0,226.0,4.77,33.5,,119,,,3.0,13.0,5.0,6.0,109.0,201.0,0.0,1.5,1.0,1.0,41.0,83.0,,,
6,195,Jordan Magee,LB,Temple,2024,75.0,228.0,4.55,35.5,,121,,,8.0,31.0,2.0,10.0,139.0,235.0,3.5,14.0,0.0,4.0,45.0,80.0,,,
6,212,JD Bertrand,LB,Notre Dame,2024,73.0,230.0,4.66,33,,118,,,5.5,22.0,12.0,8.0,149.0,252.0,2.5,7.5,7.0,5.0,41.0,76.0,,,
7,221,Michael Barrett,LB,Michigan,2024,72.0,233.0,4.72,31,,115,,,8.5,11.5,9.0,4.0,107.0,190.0,3.0,3.5,5.0,2.0,36.0,61.0,,,
7,250,Curtis Jacobs,LB,Penn State,2024,73.0,241.0,4.58,35,,120,,,9.5,24.0,10.0,5.0,103.0,169.0,2.5,9.0,5.0,0.0,31.0,50.0,,,