Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2015,Za'Darius Smith,DE,Kentucky,6-4,274.0,4.83,29.0,23.0,113.0,7.42,4.66,True,4.0,122.0,,,,,,
2015,Lynden Trail,DE,Norfolk State,6-7,269.0,4.91,32.5,24.0,117.0,7.32,4.48,False,,,,,,,,
2015,Zack Wagenmann,DE,Montana,6-3,247.0,4.81,37.5,14.0,109.0,7.07,4.26,False,,,,,,,,
2016,Mehdi Abdesmad,DE,Boston Col.,6-6,284.0,5.1,29.5,25.0,108.0,7.55,4.62,False,,,,,,,,
2016,Sterling Bailey,DE,Georgia,6-4,285.0,5.23,30.0,20.0,111.0,7.46,4.73,False,,,,,,,,
2016,Jimmy Bean,DE,Oklahoma State,6-5,264.0,4.87,,20.0,,,,False,,,,,,,,
2016,Ronald Blair,DE,Appalachian State,6-2,284.0,5.15,30.0,32.0,113.0,7.95,4.53,True,5.0,142.0,,,,,,
2016,Joey Bosa,DE,Ohio State,6-5,269.0,4.86,32.0,24.0,120.0,6.89,4.21,True,1.0,3.0,,,,,,
2016,Deforest Buckner,DE,Oregon,6-7,291.0,5.05,32.0,,116.0,7.51,4.47,True,1.0,7.0,,,,,,
2016,Jonathan Bullard,DE,Florida,6-3,285.0,4.93,32.0,23.0,116.0,7.31,4.56,True,3.0,72.0,,,,,,
2016,Shilique Calhoun,DE,Michigan State,6-4,251.0,4.82,35.0,23.0,115.0,6.97,4.25,True,3.0,75.0,,,,,,
2016,Kamalei Correa,DE,Boise State,6-3,243.0,4.69,33.0,21.0,108.0,,,True,2.0,42.0,,,,,,
2016,James Cowser,DE,Southern Utah,6-3,248.0,4.82,31.5,21.0,111.0,6.8,4.31,False,,,,,,,,
2016,Kevin Dodd,DE,Clemson,6-5,277.0,4.86,,,,,,True,2.0,33.0,,,,,,
2016,Jason Fanaika,DE,Utah,6-2,271.0,4.92,35.5,23.0,113.0,7.06,4.39,False,,,,,,,,
2016,Branden Jackson,DE,Texas Tech,6-4,273.0,5.06,31.5,20.0,113.0,7.4,4.77,False,,,,,,,,
2016,Matt Judon,DE,Grand Valley State,6-3,275.0,4.73,35.0,30.0,109.0,7.67,4.52,True,5.0,146.0,,,,,,
2016,Ufomba Kamalu,DE,Miami (FL),6-5,295.0,5.01,25.0,26.0,106.0,7.32,4.58,False,,,,,,,,
2016,Bronson Kaufusi,DE,BYU,6-6,285.0,4.87,30.0,25.0,111.0,7.03,4.25,True,3.0,70.0,,,,,,
2016,Shaq Lawson,DE,Clemson,6-3,269.0,4.7,33.0,,120.0,7.16,4.21,True,1.0,19.0,,,,,,
2016,Dean Lowry,DE,Northwestern,6-6,296.0,4.87,32.5,30.0,114.0,7.26,4.38,True,4.0,137.0,,,,,,
2016,Alex McCalister,DE,Florida,6-6,239.0,4.8,34.5,,128.0,7.01,4.0,True,7.0,240.0,,,,,,
2016,Carl Nassib,DE,Penn State,6-7,277.0,4.84,28.5,21.0,114.0,7.27,4.37,True,3.0,65.0,,,,,,
2016,Giorgio Newberry,DE,Florida State,6-5,285.0,4.94,30.0,20.0,114.0,7.53,4.78,False,,,,,,,,
2016,Yannick Ngakoue,DE,Maryland,6-2,252.0,4.75,34.5,26.0,118.0,7.35,4.5,True,3.0,69.0,,,,,,
2016,Dadi Nicolas,DE,Virginia Tech,6-3,235.0,4.74,41.0,14.0,116.0,7.04,4.38,True,6.0,203.0,,,,,,
2016,Shawn Oakman,DE,Baylor,6-8,287.0,4.96,32.0,23.0,123.0,7.53,4.56,False,,,,,,,,
2016,Victor Ochi,DE,Stony Brook,6-1,246.0,4.86,32.0,,119.0,7.24,4.4,False,,,,,,,,
2016,Emmanuel Ogbah,DE,Oklahoma State,6-4,273.0,4.63,35.5,20.0,121.0,7.26,4.5,True,2.0,32.0,,,,,,
2016,Romeo Okwara,DE,Notre Dame,6-5,265.0,4.9,33.0,23.0,120.0,7.38,4.53,False,,,,,,,,
2016,Drew Ott,DE,Iowa,6-4,273.0,4.88,,,,,,False,,,,,,,,
2016,D.J. Pettway,DE,Alabama,6-2,265.0,4.99,28.0,17.0,108.0,7.74,4.69,False,,,,,,,,
2016,Noah Spence,DE,East. Kentucky,6-2,251.0,4.8,35.0,25.0,121.0,7.21,4.35,True,2.0,39.0,,,,,,
2016,Charles Tapper,DE,Oklahoma,6-3,271.0,4.59,34.0,23.0,119.0,,,True,4.0,101.0,,,,,,
2016,Ron Thompson,DE,Syracuse,6-3,253.0,4.92,,18.0,,7.46,4.5,False,,,,,,,,
2017,Derek Barnett,DE,Tennessee,6-3,259.0,4.88,31.0,,117.0,6.96,4.44,True,1.0,14.0,13.0,19.0,16.0,13.0,19.0,16.0
2017,Tarell Basham,DE,Ohio,6-4,269.0,4.7,31.5,15.0,119.0,7.27,4.35,True,3.0,80.0,11.5,15.0,10.0,11.5,15.0,10.0
2017,Fadol Brown,DE,Mississippi,6-4,273.0,4.94,34.0,19.0,115.0,7.24,4.44,False,,,2.5,5.5,1.0,2.5,5.5,1.0
2017,Josh Carraway,DE,TCU,6-3,242.0,4.74,29.5,25.0,120.0,7.2,4.44,True,7.0,227.0,8.0,11.0,5.0,8.0,11.0,5.0
2017,Taco Charlton,DE,Michigan,6-6,277.0,4.92,33.0,25.0,116.0,7.17,4.39,True,1.0,28.0,9.5,13.0,8.0,9.5,13.0,8.0
2017,Keionta Davis,DE,Tenn-Chattanooga,6-3,271.0,,,,,,,False,,,,,,,,
2017,Ken Ekanem,DE,Virginia Tech,6-3,257.0,4.88,30.5,,115.0,7.38,4.58,False,,,7.5,10.0,11.0,7.5,10.0,11.0
2017,Myles Garrett,DE,Texas A&M,6-4,272.0,4.64,41.0,33.0,128.0,,,True,1.0,1.0,8.5,15.0,9.0,8.5,15.0,9.0
2017,Daeshon Hall,DE,Texas A&M,6-5,266.0,4.76,36.0,18.0,123.0,7.03,4.38,True,3.0,77.0,3.5,13.0,12.0,3.5,13.0,12.0
2017,Charles Harris,DE,Missouri,6-3,253.0,4.82,32.0,21.0,109.0,7.47,4.42,True,1.0,22.0,9.0,12.0,10.0,9.0,12.0,10.0
2017,Trey Hendrickson,DE,Florida Atlantic,6-4,266.0,4.65,33.5,,122.0,7.03,4.2,True,3.0,103.0,9.5,14.0,7.0,9.5,14.0,7.0
2017,Bryan Cox Jr.,DE,Florida,6-3,265.0,4.89,26.5,16.0,109.0,7.36,4.46,False,,,,,,,,
2017,Deatrich Wise Jr.,DE,Arkansas,6-5,274.0,4.92,33.0,22.0,124.0,,,True,4.0,131.0,,,,,,
2017,Tanoh Kpassagnon,DE,Villanova,6-7,289.0,4.83,30.0,23.0,128.0,7.46,4.62,True,2.0,59.0,,,,,,
2017,Carl Lawson,DE,Auburn,6-2,261.0,4.67,33.0,35.0,114.0,7.46,4.19,True,4.0,116.0,9.0,13.5,24.0,9.0,13.5,24.0
2017,Joe Mathis,DE,Washington,6-2,266.0,,,24.0,,,,False,,,5.0,7.5,0.0,5.0,7.5,0.0
2017,Avery Moss,DE,Youngstown State,6-3,264.0,4.79,32.5,14.0,114.0,7.25,4.43,True,5.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Al-Quadin Muhammad,DE,Miami (FL),6-3,253.0,4.88,30.5,22.0,117.0,7.25,4.47,True,6.0,196.0,,,,,,
2017,Noble Nwachukwu,DE,West Virginia,6-1,268.0,4.83,30.5,27.0,110.0,,,False,,,4.0,7.5,3.0,4.0,7.5,3.0
2017,Ifeadi Odenigbo,DE,Northwestern,6-3,258.0,4.72,31.5,25.0,128.0,7.26,4.4,True,7.0,220.0,10.0,12.0,6.0,10.0,12.0,6.0
2017,Larry Ogunjobi,DE,Charlotte,6-3,305.0,4.97,32.0,26.0,116.0,7.55,4.75,True,3.0,65.0,3.0,13.5,10.0,3.0,13.5,10.0
2017,Derek Rivers,DE,Youngstown State,6-4,248.0,4.61,35.0,30.0,123.0,6.94,4.4,True,3.0,83.0,,,,,,
2017,Isaac Rochell,DE,Notre Dame,6-4,280.0,4.89,31.5,25.0,114.0,,,True,7.0,225.0,1.0,7.5,6.0,1.0,7.5,6.0
2017,Garrett Sickels,DE,Penn State,6-3,261.0,4.9,28.0,20.0,105.0,7.21,4.41,False,,,6.0,12.5,2.0,6.0,12.5,2.0
2017,Dawuane Smoot,DE,Illinois,6-3,264.0,4.77,29.5,,117.0,7.18,4.39,True,3.0,68.0,5.0,15.5,10.0,5.0,15.5,10.0
2017,Solomon Thomas,DE,Stanford,6-3,273.0,4.69,35.0,30.0,126.0,6.95,4.28,True,1.0,3.0,8.0,14.0,7.0,8.0,14.0,7.0
2017,DeMarcus Walker,DE,Florida State,6-4,280.0,,,18.0,,,,True,2.0,51.0,16.0,20.5,4.0,16.0,20.5,4.0
2017,Jordan Willis,DE,Kansas State,6-4,255.0,4.53,39.0,24.0,125.0,6.85,4.28,True,3.0,73.0,11.5,17.5,4.0,11.5,17.5,4.0
2018,Kemoko Turay,EDGE,Rutgers,6-5,253.0,4.65,,,,,,True,2.0,52.0,6.0,8.0,8.0,4.0,6.0,7.0
2018,Ola Adeniyi,EDGE,Toledo,6-2,248.0,4.83,31.5,26.0,,7.21,4.28,False,,,,,,,,
2018,Dorance Armstrong,EDGE,Kansas,6-4,257.0,4.87,30.0,20.0,118.0,7.12,4.23,True,4.0,116.0,,,,,,
2018,Ade Aruna,DE,Tulane,6-6,262.0,4.6,38.5,18.0,128.0,7.53,4.48,True,6.0,218.0,8.0,13.0,3.0,3.0,3.0,3.0
2018,Davin Bellamy,EDGE,Georgia,6-5,255.0,,,15.0,,,,False,,,10.0,16.5,5.0,5.0,7.5,4.0
2018,Andrew Brown,DE,Virginia,6-4,296.0,5.03,28.0,31.0,101.0,7.51,4.48,True,5.0,158.0,9.5,23.5,3.0,3.5,10.5,3.0
2018,Lorenzo Carter,EDGE,Georgia,6-6,250.0,4.5,36.0,,130.0,,,True,3.0,66.0,9.5,13.5,5.0,4.5,7.5,4.0
2018,Bradley Chubb,DE,North Carolina State,6-4,269.0,4.65,36.0,24.0,121.0,7.37,4.41,True,1.0,5.0,,,,,,
2018,Marcus Davenport,DE,Texas-San Antonio,6-6,264.0,4.58,33.5,22.0,124.0,7.2,4.41,True,1.0,14.0,,,,,,
2018,Matt Dickerson,DE,UCLA,6-4,292.0,5.06,31.0,26.0,,,,False,,,0.0,2.5,0.0,0.0,1.0,0.0
2018,Garret Dooley,EDGE,Wisconsin,6-3,248.0,4.8,33.0,21.0,121.0,,4.28,False,,,11.0,18.5,7.0,7.5,12.0,4.0
2018,Duke Ejiofor,DE,Wake Forest,6-4,264.0,,,,,,,True,6.0,177.0,17.0,33.5,13.0,6.5,16.5,9.0
2018,Kylie Fitts,EDGE,Utah,6-4,263.0,4.69,32.5,31.0,117.0,6.88,4.19,True,6.0,181.0,4.5,6.0,0.0,3.0,3.0,0.0
2018,John Franklin-Myers,DE,Stephen F. Austin,6-4,283.0,4.75,33.0,26.0,113.0,7.36,4.48,True,4.0,135.0,,,,,,
2018,Rasheem Green,DE,USC,6-5,275.0,4.73,32.5,,118.0,7.24,4.39,True,3.0,79.0,16.0,19.0,6.0,10.0,12.5,5.0
2018,Dashawn Hand,DE,Alabama,6-4,297.0,4.83,31.5,28.0,111.0,7.98,4.62,False,,,,,,,,
2018,Marquis Haynes,EDGE,Mississippi,6-3,235.0,4.67,32.0,23.0,123.0,7.14,4.45,True,4.0,136.0,14.5,22.0,13.0,7.5,11.0,5.0
2018,James Hearns,EDGE,Louisville,6-3,239.0,4.89,,22.0,,,,False,,,15.0,24.5,9.0,7.0,13.5,2.0
2018,Jeff Holland,EDGE,Auburn,6-2,249.0,4.79,,,116.0,,,False,,,11.0,15.0,26.0,9.0,12.0,19.0
2018,Jalyn Holmes,DE,Ohio State,6-5,283.0,4.82,32.0,25.0,,,,True,4.0,102.0,4.0,12.0,5.0,2.0,3.0,2.0
2018,Sam Hubbard,DE,Ohio State,6-5,270.0,,35.0,,116.0,6.84,4.32,True,3.0,77.0,10.5,22.0,7.0,7.0,13.5,3.0
2018,Darius Jackson,EDGE,Jacksonville State,6-3,242.0,4.87,26.5,21.0,113.0,7.52,,False,,,,,,,,
2018,Leon Jacobs,EDGE,Wisconsin,6-3,246.0,4.48,34.5,26.0,122.0,7.14,4.44,True,7.0,230.0,4.5,11.0,8.0,3.5,10.0,8.0
2018,Peter Kalambayi,EDGE,Stanford,6-3,252.0,4.57,34.0,19.0,121.0,7.13,4.36,True,6.0,214.0,14.5,12.5,10.0,11.0,6.5,5.0
2018,Arden Key,EDGE,LSU,6-6,238.0,,31.0,,117.0,7.16,4.25,True,3.0,87.0,16.0,20.0,18.0,4.0,5.5,7.0
2018,Harold Landry,EDGE,Boston Col.,6-3,252.0,4.64,36.0,24.0,119.0,6.88,4.19,True,2.0,41.0,21.5,30.5,8.0,5.0,8.5,2.0
2018,Tyquan Lewis,EDGE,Ohio State,6-3,265.0,,35.5,,122.0,,,True,2.0,64.0,15.0,20.0,8.0,7.0,9.5,3.0
2018,James Looney,DE,California,6-3,287.0,4.89,35.5,28.0,113.0,7.32,4.37,True,7.0,232.0,7.0,17.0,5.0,3.5,9.5,3.0
2018,Hercules Mata'afa,EDGE,Washington State,6-1,254.0,4.76,31.5,26.0,108.0,7.24,4.37,False,,,12.5,29.5,12.0,7.5,17.5,5.0
2018,Uchenna Nwosu,EDGE,USC,6-3,251.0,4.65,32.0,20.0,119.0,,,True,2.0,48.0,12.5,19.0,11.0,9.5,11.5,9.0
2018,Ogbonnia Okoronkwo,EDGE,Oklahoma,6-1,253.0,4.77,38.0,27.0,121.0,,,True,5.0,160.0,17.0,27.0,13.0,8.0,15.0,6.0
2018,Javon Rolland-Jones,EDGE,Arkansas State,6-2,253.0,4.88,,23.0,,,,False,,,,,,,,
2018,Olubunmi Rotimi,DE,Old Dominion,6-4,273.0,,32.0,21.0,113.0,7.46,4.7,False,,,,,,,,
2018,Kentavius Street,DE,North Carolina State,6-2,280.0,4.87,,28.0,,,,True,4.0,128.0,,,,,,
2018,Josh Sweat,EDGE,Florida State,6-4,251.0,4.53,39.5,,124.0,,4.28,True,4.0,130.0,12.5,24.0,12.0,5.5,12.5,6.0
2018,Chad Thomas,DE,Miami (FL),6-6,281.0,4.92,29.0,,116.0,,,True,3.0,67.0,8.5,23.0,4.0,5.5,12.0,3.0
2018,Jojo Wicker,DE,Arizona State,6-3,296.0,5.16,30.0,25.0,105.0,,,False,,,,,,,,
2018,Anthony Winbush,EDGE,Ball State,6-1,249.0,,,25.0,110.0,,,False,,,20.0,27.0,11.0,11.5,16.5,6.0
2018,Trevon Young,EDGE,Louisville,6-4,258.0,4.78,33.0,25.0,114.0,6.99,4.4,True,6.0,205.0,4.5,12.0,9.0,4.5,12.0,9.0
2019,Josh Allen,EDGE,Kentucky,6-5,262.0,4.63,,28.0,118.0,7.15,4.23,True,1.0,7.0,31.0,39.5,13.0,17.0,20.5,7.0
2019,Ben Banogu,EDGE,TCU,6-3,250.0,4.62,40.0,23.0,134.0,7.02,4.27,True,2.0,49.0,17.0,33.5,15.0,8.5,17.0,8.0
2019,Jordan Brailford,EDGE,Oklahoma State,6-3,252.0,4.65,37.5,22.0,126.0,,,True,7.0,253.0,14.0,28.0,9.0,9.0,17.0,7.0
2019,Austin Bryant,EDGE,Clemson,6-4,271.0,,,,,,,True,4.0,117.0,19.0,33.0,13.0,8.5,14.5,5.0
2019,Brian Burns,EDGE,Florida State,6-5,249.0,4.53,36.0,,129.0,7.01,,True,1.0,16.0,23.0,38.5,14.0,10.0,15.5,8.0
2019,Malik Carney,EDGE,North Carolina,6-2,251.0,4.73,33.0,25.0,113.0,7.4,,False,,,17.5,33.0,12.0,6.5,12.5,4.0
2019,Jamal Davis,EDGE,Akron,6-3,243.0,4.6,39.0,19.0,122.0,7.0,4.44,False,,,,,,,,
2019,Clelin Ferrell,EDGE,Clemson,6-4,264.0,,,25.0,,7.26,4.4,True,1.0,4.0,27.0,49.0,25.0,11.5,18.5,9.0
2019,Carl Granderson,EDGE,Wyoming,6-5,254.0,4.79,35.0,,119.0,7.44,4.41,False,,,16.5,29.5,9.0,3.0,7.5,3.0
2019,Gerri Green,EDGE,Mississippi State,6-4,252.0,4.63,35.0,24.0,114.0,7.27,4.42,True,6.0,199.0,,,,,,
2019,Porter Gustin,EDGE,USC,6-4,255.0,4.69,35.5,31.0,119.0,,,False,,,15.5,26.0,4.0,7.0,10.0,3.0
2019,Justin Hollins,EDGE,Oregon,6-5,248.0,4.5,36.5,25.0,119.0,7.06,4.4,True,5.0,156.0,13.0,32.0,11.0,6.5,12.5,5.0
2019,Cece Jefferson,EDGE,Florida,6-1,266.0,5.02,30.5,17.0,108.0,7.5,4.53,False,,,7.0,26.0,15.0,1.0,6.0,4.0
2019,Jalen Jelks,EDGE,Oregon,6-5,256.0,4.92,32.5,19.0,113.0,7.22,4.59,True,7.0,241.0,12.5,26.0,9.0,3.5,6.5,5.0
2019,Darryl Johnson,EDGE,North Carolina A&T,6-6,253.0,,,20.0,,,,True,7.0,225.0,2.5,3.5,1.0,1.0,1.0,1.0
2019,Christian Miller,EDGE,Alabama,6-3,247.0,,38.5,,118.0,,,True,4.0,115.0,11.0,15.5,16.0,8.0,11.0,12.0
2019,Shareef Miller,EDGE,Penn State,6-4,254.0,4.69,29.5,16.0,,,4.45,True,4.0,138.0,15.0,32.5,13.0,8.0,16.0,5.0
2019,Jachai Polite,EDGE,Florida,6-3,258.0,4.84,32.0,,,,,True,3.0,68.0,14.0,27.0,10.0,11.0,19.0,3.0
2019,Wyatt Ray,EDGE,Boston Col.,6-3,257.0,4.83,34.0,25.0,118.0,7.34,4.31,False,,,16.5,22.5,7.0,9.0,11.5,5.0
2019,Sutton Smith,EDGE,Northern Illinois,6-0,233.0,4.69,31.5,25.0,118.0,6.75,4.32,True,6.0,175.0,27.0,52.0,17.0,12.0,20.0,6.0
2019,Montez Sweat,EDGE,Mississippi State,6-6,260.0,4.41,36.0,21.0,125.0,7.0,4.29,True,1.0,26.0,19.0,26.5,9.0,8.5,11.0,5.0
2019,D'Andre Walker,EDGE,Georgia,6-2,251.0,,,,,,,True,5.0,168.0,12.0,26.0,7.0,7.5,11.0,5.0
2019,Chase Winovich,EDGE,Michigan,6-3,256.0,4.59,30.5,18.0,116.0,6.94,4.11,True,3.0,77.0,18.0,44.0,17.0,4.5,15.5,7.0
2019,Oshane Ximines,EDGE,Old Dominion,6-3,253.0,4.78,34.0,24.0,118.0,7.13,4.57,True,3.0,95.0,28.0,44.0,25.0,12.0,18.5,14.0
