Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush
2015,Henry Anderson,DE,Stanford,6-6,294.0,4.97,30.0,,111.0,7.2,4.19,True,3.0,93.0,,19.7,11.0,389.0
2015,Arik Armstead,DE,Oregon,6-7,292.0,5.06,34.0,24.0,117.0,7.57,4.53,True,1.0,17.0,,11.5,7.4,346.0
2015,Tavaris Barnes,DE,Clemson,6-4,282.0,4.8,,22.0,,,,False,,,,7.0,8.2,153.0
2015,Anthony Chickillo,DE,Miami (FL),6-3,267.0,4.79,34.5,27.0,114.0,7.17,4.25,True,6.0,212.0,,7.5,6.5,355.0
2015,Frank Clark,DE,Michigan,6-3,271.0,4.79,38.5,19.0,118.0,7.08,4.05,True,2.0,63.0,,20.6,15.2,197.0
2015,Corey Crawford,DE,Clemson,6-5,299.0,5.01,33.0,,110.0,7.64,4.65,False,,,,7.3,4.3,246.0
2015,Ryan Delaire,DE,Towson,6-4,254.0,4.97,,23.0,,,,False,,,,,,
2015,B.J. Dubose,DE,Louisville,6-4,284.0,5.06,,26.0,,,,True,6.0,193.0,,8.3,7.8,377.0
2015,Alvin Dupree,DE,Kentucky,6-4,269.0,4.56,42.0,,138.0,,,True,1.0,22.0,,19.2,11.4,312.0
2015,Trey Flowers,DE,Arkansas,6-2,266.0,4.93,36.5,28.0,121.0,7.34,4.4,True,4.0,101.0,,24.5,17.6,345.0
2015,Randy Gregory,DE,Nebraska,6-5,235.0,4.64,36.5,24.0,125.0,,,True,2.0,60.0,,18.7,13.9,327.0
2015,Obum Gwacham,DE,Oregon State,6-5,246.0,4.72,36.0,22.0,121.0,7.28,4.28,True,6.0,209.0,,12.3,7.9,302.0
2015,Danielle Hunter,DE,LSU,6-5,252.0,4.57,,25.0,,,,True,3.0,88.0,,10.4,5.1,342.0
2015,Martin Ifedi,DE,Memphis,6-3,275.0,4.88,31.0,16.0,111.0,7.39,4.58,True,7.0,227.0,,20.3,12.5,262.0
2015,Mario Edwards Jr.,DE,Florida State,6-3,279.0,4.76,32.5,32.0,120.0,7.44,4.55,True,2.0,35.0,,12.0,6.8,384.0
2015,Owamagbe Odighizuwa,DE,UCLA,6-3,267.0,4.62,39.0,25.0,127.0,7.36,4.19,True,3.0,74.0,,21.4,10.3,502.0
2015,Nate Orchard,DE,Utah,6-3,250.0,4.8,31.5,,115.0,7.28,4.43,True,2.0,51.0,,17.1,11.4,433.0
2015,Shane Ray,DE,Missouri,6-3,245.0,4.68,,21.0,,,,True,1.0,23.0,,22.2,12.3,422.0
2015,Cedric Reed,DE,Texas,6-5,269.0,4.89,,22.0,,,,False,,,,9.9,4.9,385.0
2015,Ryan Russell,DE,Purdue,6-4,269.0,4.75,32.5,25.0,119.0,7.25,4.47,True,5.0,163.0,,20.1,11.5,350.0
2015,Preston Smith,DE,Mississippi State,6-5,271.0,4.74,34.0,24.0,121.0,7.07,4.28,True,2.0,38.0,,22.1,12.3,317.0
2015,Za'Darius Smith,DE,Kentucky,6-4,274.0,4.83,29.0,23.0,113.0,7.42,4.66,True,4.0,122.0,,16.5,10.8,349.0
2015,Lynden Trail,DE,Norfolk State,6-7,269.0,4.91,32.5,24.0,117.0,7.32,4.48,False,,,,,,
2015,Zack Wagenmann,DE,Montana,6-3,247.0,4.81,37.5,14.0,109.0,7.07,4.26,False,,,,,,
2016,Mehdi Abdesmad,DE,Boston Col.,6-6,284.0,5.1,29.5,25.0,108.0,7.55,4.62,False,,,,14.4,10.3,245.0
2016,Sterling Bailey,DE,Georgia,6-4,285.0,5.23,30.0,20.0,111.0,7.46,4.73,False,,,,11.0,7.3,225.0
2016,Jimmy Bean,DE,Oklahoma State,6-5,264.0,4.87,,20.0,,,,False,,,,12.6,10.1,223.0
2016,Ronald Blair,DE,Appalachian State,6-2,284.0,5.15,30.0,32.0,113.0,7.95,4.53,True,5.0,142.0,,,,
2016,Joey Bosa,DE,Ohio State,6-5,269.0,4.86,32.0,24.0,120.0,6.89,4.21,True,1.0,3.0,,34.5,20.9,347.0
2016,Deforest Buckner,DE,Oregon,6-7,291.0,5.05,32.0,,116.0,7.51,4.47,True,1.0,7.0,,24.0,14.2,561.0
2016,Jonathan Bullard,DE,Florida,6-3,285.0,4.93,32.0,23.0,116.0,7.31,4.56,True,3.0,72.0,,14.2,9.3,352.0
2016,Shilique Calhoun,DE,Michigan State,6-4,251.0,4.82,35.0,23.0,115.0,6.97,4.25,True,3.0,75.0,,25.2,15.8,510.0
2016,Kamalei Correa,DE,Boise State,6-3,243.0,4.69,33.0,21.0,108.0,,,True,2.0,42.0,,21.6,13.9,252.0
2016,James Cowser,DE,Southern Utah,6-3,248.0,4.82,31.5,21.0,111.0,6.8,4.31,False,,,,,,
2016,Kevin Dodd,DE,Clemson,6-5,277.0,4.86,,,,,,True,2.0,33.0,,21.3,16.2,418.0
2016,Jason Fanaika,DE,Utah,6-2,271.0,4.92,35.5,23.0,113.0,7.06,4.39,False,,,,22.8,12.8,424.0
2016,Branden Jackson,DE,Texas Tech,6-4,273.0,5.06,31.5,20.0,113.0,7.4,4.77,False,,,,9.4,5.5,442.0
2016,Matt Judon,DE,Grand Valley State,6-3,275.0,4.73,35.0,30.0,109.0,7.67,4.52,True,5.0,146.0,,,,
2016,Ufomba Kamalu,DE,Miami (FL),6-5,295.0,5.01,25.0,26.0,106.0,7.32,4.58,False,,,,5.4,4.8,331.0
2016,Bronson Kaufusi,DE,BYU,6-6,285.0,4.87,30.0,25.0,111.0,7.03,4.25,True,3.0,70.0,,,,
2016,Shaq Lawson,DE,Clemson,6-3,269.0,4.7,33.0,,120.0,7.16,4.21,True,1.0,19.0,,18.8,13.8,364.0
2016,Dean Lowry,DE,Northwestern,6-6,296.0,4.87,32.5,30.0,114.0,7.26,4.38,True,4.0,137.0,,16.7,10.8,404.0
2016,Alex McCalister,DE,Florida,6-6,239.0,4.8,34.5,,128.0,7.01,4.0,True,7.0,240.0,,20.8,11.5,187.0
2016,Carl Nassib,DE,Penn State,6-7,277.0,4.84,28.5,21.0,114.0,7.27,4.37,True,3.0,65.0,,27.1,16.7,248.0
2016,Giorgio Newberry,DE,Florida State,6-5,285.0,4.94,30.0,20.0,114.0,7.53,4.78,False,,,,2.9,3.3,274.0
2016,Yannick Ngakoue,DE,Maryland,6-2,252.0,4.75,34.5,26.0,118.0,7.35,4.5,True,3.0,69.0,,18.6,15.0,376.0
2016,Dadi Nicolas,DE,Virginia Tech,6-3,235.0,4.74,41.0,14.0,116.0,7.04,4.38,True,6.0,203.0,,15.0,16.7,334.0
2016,Shawn Oakman,DE,Baylor,6-8,287.0,4.96,32.0,23.0,123.0,7.53,4.56,False,,,,26.3,13.0,396.0
2016,Victor Ochi,DE,Stony Brook,6-1,246.0,4.86,32.0,,119.0,7.24,4.4,False,,,,,,
2016,Emmanuel Ogbah,DE,Oklahoma State,6-4,273.0,4.63,35.5,20.0,121.0,7.26,4.5,True,2.0,32.0,,21.0,16.7,429.0
2016,Romeo Okwara,DE,Notre Dame,6-5,265.0,4.9,33.0,23.0,120.0,7.38,4.53,False,,,,10.8,6.5,264.0
2016,Drew Ott,DE,Iowa,6-4,273.0,4.88,,,,,,False,,,,28.6,21.0,132.0
2016,D.J. Pettway,DE,Alabama,6-2,265.0,4.99,28.0,17.0,108.0,7.74,4.69,False,,,,15.3,13.1,186.0
2016,Noah Spence,DE,East. Kentucky,6-2,251.0,4.8,35.0,25.0,121.0,7.21,4.35,True,2.0,39.0,,,,
2016,Charles Tapper,DE,Oklahoma,6-3,271.0,4.59,34.0,23.0,119.0,,,True,4.0,101.0,,,,
2016,Ron Thompson,DE,Syracuse,6-3,253.0,4.92,,18.0,,7.46,4.5,False,,,,18.2,13.5,300.0
2017,Derek Barnett,DE,Tennessee,6-3,259.0,4.88,31.0,,117.0,6.96,4.44,True,1.0,14.0,5.19,31.1,20.3,389.0
2017,Tarell Basham,DE,Ohio,6-4,269.0,4.7,31.5,15.0,119.0,7.27,4.35,True,3.0,80.0,8.2,20.9,14.2,403.0
2017,Fadol Brown,DE,Mississippi,6-4,273.0,4.94,34.0,19.0,115.0,7.24,4.44,False,,,5.27,21.1,11.5,125.0
2017,Josh Carraway,DE,TCU,6-3,242.0,4.74,29.5,25.0,120.0,7.2,4.44,True,7.0,227.0,6.17,20.6,9.5,346.0
2017,Taco Charlton,DE,Michigan,6-6,277.0,4.92,33.0,25.0,116.0,7.17,4.39,True,1.0,28.0,8.17,24.2,20.3,250.0
2017,Keionta Davis,DE,Tenn-Chattanooga,6-3,271.0,,,,,,,False,,,8.58,,,
2017,Ken Ekanem,DE,Virginia Tech,6-3,257.0,4.88,30.5,,115.0,7.38,4.58,False,,,3.54,22.7,14.7,365.0
2017,Myles Garrett,DE,Texas A&M,6-4,272.0,4.64,41.0,33.0,128.0,,,True,1.0,1.0,9.99,28.4,20.9,327.0
2017,Daeshon Hall,DE,Texas A&M,6-5,266.0,4.76,36.0,18.0,123.0,7.03,4.38,True,3.0,77.0,9.22,20.7,9.9,424.0
2017,Charles Harris,DE,Missouri,6-3,253.0,4.82,32.0,21.0,109.0,7.47,4.42,True,1.0,22.0,4.25,27.7,18.4,355.0
2017,Trey Hendrickson,DE,Florida Atlantic,6-4,266.0,4.65,33.5,,122.0,7.03,4.2,True,3.0,103.0,9.53,45.4,24.9,310.0
2017,Bryan Cox Jr.,DE,Florida,6-3,265.0,4.89,26.5,16.0,109.0,7.36,4.46,False,,,1.95,16.1,10.6,124.0
2017,Deatrich Wise Jr.,DE,Arkansas,6-5,274.0,4.92,33.0,22.0,124.0,,,True,4.0,131.0,8.18,25.0,15.1,265.0
2017,Tanoh Kpassagnon,DE,Villanova,6-7,289.0,4.83,30.0,23.0,128.0,7.46,4.62,True,2.0,59.0,7.38,,,
2017,Carl Lawson,DE,Auburn,6-2,261.0,4.67,33.0,35.0,114.0,7.46,4.19,True,4.0,116.0,8.57,37.1,20.7,364.0
2017,Joe Mathis,DE,Washington,6-2,266.0,,,24.0,,,,False,,,,27.3,19.3,120.0
2017,Avery Moss,DE,Youngstown State,6-3,264.0,4.79,32.5,14.0,114.0,7.25,4.43,True,5.0,167.0,6.34,,,
2017,Al-Quadin Muhammad,DE,Miami (FL),6-3,253.0,4.88,30.5,22.0,117.0,7.25,4.47,True,6.0,196.0,4.08,,,
2017,Noble Nwachukwu,DE,West Virginia,6-1,268.0,4.83,30.5,27.0,110.0,,,False,,,4.13,,,
2017,Ifeadi Odenigbo,DE,Northwestern,6-3,258.0,4.72,31.5,25.0,128.0,7.26,4.4,True,7.0,220.0,8.05,24.1,17.2,311.0
2017,Larry Ogunjobi,DE,Charlotte,6-3,305.0,4.97,32.0,26.0,116.0,7.55,4.75,True,3.0,65.0,,13.1,7.3,437.0
2017,Derek Rivers,DE,Youngstown State,6-4,248.0,4.61,35.0,30.0,123.0,6.94,4.4,True,3.0,83.0,9.67,,,
2017,Isaac Rochell,DE,Notre Dame,6-4,280.0,4.89,31.5,25.0,114.0,,,True,7.0,225.0,6.25,22.9,10.0,291.0
2017,Garrett Sickels,DE,Penn State,6-3,261.0,4.9,28.0,20.0,105.0,7.21,4.41,False,,,3.01,25.8,13.6,373.0
2017,Dawuane Smoot,DE,Illinois,6-3,264.0,4.77,29.5,,117.0,7.18,4.39,True,3.0,68.0,6.5,29.1,17.8,358.0
2017,Solomon Thomas,DE,Stanford,6-3,273.0,4.69,35.0,30.0,126.0,6.95,4.28,True,1.0,3.0,9.71,13.2,11.4,417.0
2017,DeMarcus Walker,DE,Florida State,6-4,280.0,,,18.0,,,,True,2.0,51.0,3.19,24.0,15.7,455.0
2017,Jordan Willis,DE,Kansas State,6-4,255.0,4.53,39.0,24.0,125.0,6.85,4.28,True,3.0,73.0,9.88,28.6,17.4,524.0
2018,Kemoko Turay,EDGE,Rutgers,6-5,253.0,4.65,,,,,,True,2.0,52.0,8.27,23.4,14.7,228.0
2018,Ola Adeniyi,EDGE,Toledo,6-2,248.0,4.83,31.5,26.0,,7.21,4.28,False,,,,,,
2018,Dorance Armstrong,EDGE,Kansas,6-4,257.0,4.87,30.0,20.0,118.0,7.12,4.23,True,4.0,116.0,5.91,6.6,6.4,376.0
2018,Ade Aruna,DE,Tulane,6-6,262.0,4.6,38.5,18.0,128.0,7.53,4.48,True,6.0,218.0,8.61,6.9,3.9,290.0
2018,Davin Bellamy,EDGE,Georgia,6-5,255.0,,,15.0,,,,False,,,0.52,18.0,10.3,265.0
2018,Andrew Brown,DE,Virginia,6-4,296.0,5.03,28.0,31.0,101.0,7.51,4.48,True,5.0,158.0,,16.5,9.2,341.0
2018,Lorenzo Carter,EDGE,Georgia,6-6,250.0,4.5,36.0,,130.0,,,True,3.0,66.0,,20.3,13.2,193.0
2018,Bradley Chubb,DE,North Carolina State,6-4,269.0,4.65,36.0,24.0,121.0,7.37,4.41,True,1.0,5.0,9.51,22.3,16.2,381.0
2018,Marcus Davenport,DE,Texas-San Antonio,6-6,264.0,4.58,33.5,22.0,124.0,7.2,4.41,True,1.0,14.0,9.67,32.6,20.1,256.0
2018,Matt Dickerson,DE,UCLA,6-4,292.0,5.06,31.0,26.0,,,,False,,,,14.0,8.5,171.0
2018,Garret Dooley,EDGE,Wisconsin,6-3,248.0,4.8,33.0,21.0,121.0,,4.28,False,,,7.45,26.0,16.9,266.0
2018,Duke Ejiofor,DE,Wake Forest,6-4,264.0,,,,,,,True,6.0,177.0,,,,
2018,Kylie Fitts,EDGE,Utah,6-4,263.0,4.69,32.5,31.0,117.0,6.88,4.19,True,6.0,181.0,9.59,13.7,11.1,198.0
2018,John Franklin-Myers,DE,Stephen F. Austin,6-4,283.0,4.75,33.0,26.0,113.0,7.36,4.48,True,4.0,135.0,8.31,,,
2018,Rasheem Green,DE,USC,6-5,275.0,4.73,32.5,,118.0,7.24,4.39,True,3.0,79.0,9.09,14.2,9.4,460.0
2018,Dashawn Hand,DE,Alabama,6-4,297.0,4.83,31.5,28.0,111.0,7.98,4.62,False,,,,11.6,7.3,231.0
2018,Marquis Haynes,EDGE,Mississippi,6-3,235.0,4.67,32.0,23.0,123.0,7.14,4.45,True,4.0,136.0,7.22,11.0,8.2,279.0
2018,James Hearns,EDGE,Louisville,6-3,239.0,4.89,,22.0,,,,False,,,3.5,19.8,10.0,259.0
2018,Jeff Holland,EDGE,Auburn,6-2,249.0,4.79,,,116.0,,,False,,,3.54,19.4,14.5,348.0
2018,Jalyn Holmes,DE,Ohio State,6-5,283.0,4.82,32.0,25.0,,,,True,4.0,102.0,6.81,17.5,11.3,335.0
2018,Sam Hubbard,DE,Ohio State,6-5,270.0,,35.0,,116.0,6.84,4.32,True,3.0,77.0,7.4,19.1,12.3,306.0
2018,Darius Jackson,EDGE,Jacksonville State,6-3,242.0,4.87,26.5,21.0,113.0,7.52,,False,,,1.05,,,
2018,Leon Jacobs,EDGE,Wisconsin,6-3,246.0,4.48,34.5,26.0,122.0,7.14,4.44,True,7.0,230.0,8.76,19.0,14.9,245.0
2018,Peter Kalambayi,EDGE,Stanford,6-3,252.0,4.57,34.0,19.0,121.0,7.13,4.36,True,6.0,214.0,8.83,14.3,8.9,254.0
2018,Arden Key,EDGE,LSU,6-6,238.0,,31.0,,117.0,7.16,4.25,True,3.0,87.0,6.4,25.0,15.1,168.0
2018,Harold Landry,EDGE,Boston Col.,6-3,252.0,4.64,36.0,24.0,119.0,6.88,4.19,True,2.0,41.0,9.47,25.4,13.8,224.0
2018,Tyquan Lewis,EDGE,Ohio State,6-3,265.0,,35.5,,122.0,,,True,2.0,64.0,9.53,20.5,12.0,328.0
2018,James Looney,DE,California,6-3,287.0,4.89,35.5,28.0,113.0,7.32,4.37,True,7.0,232.0,,,,
2018,Hercules Mata'afa,EDGE,Washington State,6-1,254.0,4.76,31.5,26.0,108.0,7.24,4.37,False,,,,14.3,10.0,308.0
2018,Uchenna Nwosu,EDGE,USC,6-3,251.0,4.65,32.0,20.0,119.0,,,True,2.0,48.0,,19.3,12.0,449.0
2018,Ogbonnia Okoronkwo,EDGE,Oklahoma,6-1,253.0,4.77,38.0,27.0,121.0,,,True,5.0,160.0,8.72,,,
2018,Javon Rolland-Jones,EDGE,Arkansas State,6-2,253.0,4.88,,23.0,,,,False,,,1.72,,,
2018,Olubunmi Rotimi,DE,Old Dominion,6-4,273.0,,32.0,21.0,113.0,7.46,4.7,False,,,,,,
