ov,Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos Played,Pos,Class,#,OCB%,Slot%,Box%,FS%,Press Snaps,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Size Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Overall Coverage,Man,Zone,Tackling,Age,RAS,Length Scaled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,20%,,5%,20%,5%
24,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Terrion Arnold,Alabama,SEC,CB,CB1,3SO,3,66%,24%,8%,0%,97,5116,189,878,31.625,7628,1.52,4.50,--,6.65,--,37,1009,03.22.02,22.1,8.33,-0.37,8.70,7.97,8.0,8.0,7.6,,8.2,5.9,7.6,,6.3,9.27,5.0
22,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Quinyon Mitchell,Toledo,MAC,CB,CB2,5SR,27,87%,7%,4%,2%,16,6001,195,928,31,7568,1.54,4.33,20,--,--,38,1000,07.18.01,22.8,8.30,-0.30,8.60,8.00,8.0,8.0,8.4,,9.1,8.8,8.3,,4.0,9.79,2.2
40,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Cooper DeJean,Iowa,Big Ten,CB,CB3,3JR,3,89%,3%,3%,0%,60,6004,202,0958,31.125,7478,1.53,4.44,--,--,--,--,--,02.09.03,21.2,7.86,0.32,7.54,8.19,8.2,8.2,7.8,,8.3,7.5,6.2,,9.2,9.85,2.8
41,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Kool-Aid McKinstry,Alabama,SEC,CB,CB4,3JR,1,91%,1%,7%,0%,140,5114,196,0848,32,7578,1.44,4.47,--,--,--,--,--,09.30.02,21.6,7.74,0.27,7.47,8.01,8.0,8.0,7.6,,7.9,7.3,7.8,,8.0,7.55,6.7
30,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Nate Wiggins,Clemson,ACC,CB,CB5,3JR,2,87%,3%,7%,0%,52,6013,173,900,30.5,7428,1.50,4.28,--,--,--,36,1007,08.28.03,20.7,7.61,0.06,7.56,7.67,8.1,8.1,7.7,,8.3,7.0,6.8,,11.1,9.44,0.0
42,2,2nd,TRUE,TRUE,FALSE,FALSE,FALSE,Kamari Lassiter,Georgia,SEC,CB,CB6,3JR,3,84%,7%,8%,0%,55,5114,187,0878,30.875,7368,1.58,4.64,--,6.62,4.12,--,--,01.23.03,21.3,7.25,0.29,6.96,7.54,7.5,7.5,7.2,,8.8,7.9,5.9,,9.1,6.23,1.7
130,3,3rd,TRUE,TRUE,FALSE,FALSE,FALSE,T.J. Tampa,Iowa State,Big 12,CB,CB7,4SR,2,82%,2%,8%,0%,80,6007,194,958,32.125,7858,1.64,4.58,--,--,--,--,--,03.13.02,22.1,6.73,-0.28,7.01,6.45,6.5,6.5,6.5,,6.4,6.4,6.6,,6.2,6.34,7.2
43,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Max Melton,Rutgers,Big Ten,CB,CB8,4SR,16,78%,10%,9%,0%,81,5110,187,0918,32.125,7658,1.55,4.39,--,--,--,40.5,1104,04.15.02,22.1,6.68,-0.27,6.95,6.41,6.4,6.4,6.4,,6.0,4.5,6.1,,6.5,9.09,7.2
50,3,3rd-4th,TRUE,TRUE,TRUE,FALSE,FALSE,Mike Sainristil,Michigan,Big Ten,CB,CB9,5SR,,22%,59%,15%,1%,18,5093,182,848,30.875,7448,1.54,4.47,14,6.99,4.01,40,1011,10.03.00,23.6,6.57,-0.56,7.13,6.01,6.0,6.0,6.3,,6.5,5.2,7.5,,1.4,8.45,1.7
140,3,3rd-4th,TRUE,TRUE,TRUE,FALSE,FALSE,Cam Hart,Notre Dame,Ind.,CB,CB10,5SR,5,87%,9%,2%,0%,26,6030,202,0938,33,7878,1.55,4.50,11,7.12,4.24,39.5,1010,12.05.00,23.4,6.54,0.54,6.00,7.08,7.1,7.1,7.5,,8.0,7.0,6.0,,2.0,8.99,11.1
193,4,3rd-4th,TRUE,TRUE,TRUE,FALSE,FALSE,D.J. James,Auburn,SEC,CB,CB11,5SR,4,88%,5%,7%,0%,52,5115,175,0818,31,7200,1.56,4.42,,,,,,03.05.01,23.2,6.41,-0.26,6.67,6.15,6.5,6.5,6.8,,7.5,8.0,7.7,,2.8,5.81,2.2
64,4,4th,TRUE,TRUE,FALSE,TRUE,FALSE,Renardo Green,Florida State,ACC,CB,CB12,5SR,8,90%,2%,4%,1%,158,5117,186,918,31.25,7468,1.57,4.49,--,--,--,37.5,1010,11.09.00,23.5,6.37,0.12,6.25,6.49,6.5,6.5,6.8,,7.6,8.6,4.6,,1.7,8.21,3.3
90,4,4th,TRUE,TRUE,TRUE,FALSE,TRUE,Elijah Jones,Boston College,ACC,CB,CB13,6SR,1,69%,21%,7%,1%,12,6014,185,928,31.5,7600,1.55,4.44,--,--,--,42.5,1011,01.08.00,24.3,6.34,0.64,5.70,6.99,7.0,7.0,7.8,,9.5,9.9,4.9,,-1.1,8.96,4.4
145,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Kris Abrams-Draine,Missouri,SEC,CB,CB14,4SR,7,82%,9%,7%,2%,93,5113,179,0858,31,7458,1.52,4.44,--,--,--,33.5,--,10.04.01,22.6,6.31,-0.09,6.40,6.21,6.5,6.5,6.5,,7.5,8.3,6.7,,4.7,4.68,2.2
61,4,4th,TRUE,TRUE,TRUE,TRUE,FALSE,Ennis Rakestraw Jr.,Missouri,SEC,CB,CB15,4JR,2,72%,22%,4%,0%,68,5113,183,0848,32,7558,1.52,4.51,--,--,--,--,1000,06.05.02,21.9,6.22,-0.84,7.06,5.39,5.4,5.4,5.4,,3.8,3.7,8.0,,7.0,6.17,6.7
112,4,4th,TRUE,TRUE,FALSE,FALSE,FALSE,Decamerion Richardson,Mississippi St.,SEC,CB,CB16,4SR,,92%,1%,6%,0%,,6022,188,0878,32.375,7778,1.53,4.34,--,--,--,35,1008,03.16.01,23.1,6.20,0.10,6.10,6.29,6.3,6.3,6.3,,5.6,5.2,6.5,,2.9,8.61,8.3
70,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Andru Phillips,Kentucky,SEC,CB,CB17,4JR,23,60%,31%,6%,0%,12,5106,190,0868,31.25,7500,1.60,4.48,--,,,42,1103,11.30.01,22.4,6.17,-0.79,6.96,5.38,5.4,5.4,5.4,,4.0,4.8,5.9,,5.3,8.13,3.3
96,4,4th,TRUE,TRUE,FALSE,TRUE,FALSE,Jarrian Jones,Florida State,ACC,CB,CB18,5SR,7,6%,87%,6%,0%,32,5117,190,0858,30,7328,1.53,4.38,--,--,--,39.5,1009,05.08.01,23.0,6.15,0.89,5.26,7.03,7.0,7.0,7.4,,9.0,10.0,3.6,,3.4,9.61,-2.2
UDFA,4,4th,TRUE,TRUE,FALSE,TRUE,FALSE,Dwight McGlothern,Arkansas,SEC,CB,CB19,4SR,,91%,1%,3%,0%,,6015,185,0838,30.5,7238,1.55,4.47,--,--,--,--,--,02.06.02,22.2,6.13,0.53,5.60,6.66,6.7,6.7,6.7,,8.5,5.1,9.3,,5.9,4.53,0.0
108,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Khyree Jackson,Oregon,Pac-12,CB,CB20,5SR,5,88%,4%,7%,0%,90,6036,194,928,32.75,7800,1.60,4.50,--,--,--,36.5,1101,08.11.99,24.7,6.11,0.31,5.80,6.43,6.4,6.4,6.8,,7.8,6.0,6.3,,-2.4,7.86,10.0
211,5,4th-5th,TRUE,TRUE,FALSE,FALSE,FALSE,Kamal Hadden,Tennessee,SEC,CB,CB21,5SR,5,86%,3%,9%,0%,28,6010,192,848,30.875,7418,1.51,4.57,--,--,--,--,--,01.17.01,23.3,5.96,0.71,5.25,6.68,6.7,6.7,7.0,,9.7,2.0,10.1,,2.4,7.48,1.7
174,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Caelen Carson,Wake Forest,ACC,CB,CB22,4SR,1,80%,12%,7%,0%,24,5117,193,0828,31.375,7558,1.54,4.52,--,--,--,--,--,03.03.02,22.2,5.77,-0.73,6.50,5.03,5.0,5.0,5.0,,4.7,4.9,4.6,,6.1,6.21,3.9
136,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Nehemiah Pritchett,Auburn,SEC,CB,CB23,5SR,1,91%,3%,6%,0%,32,6001,190,838,31.625,7500,1.55,4.36,--,--,--,34.5,--,02.11.01,23.2,5.66,-0.64,6.30,5.01,5.0,5.0,5.3,,5.3,2.7,6.1,,2.6,7.79,5.0
255,6,5th-6,TRUE,TRUE,TRUE,FALSE,FALSE,Kalen King,Penn State,Big Ten,CB,CB24,3JR,4,81%,4%,11%,2%,70,5112,190,868,30.875,7428,1.57,4.55,--,--,4.16,37,1002,01.28.03,21.3,5.49,0.09,5.40,5.58,5.6,5.6,5.3,,4.1,5.4,5.8,,9.1,6.51,1.7
146,6,5th-6,TRUE,TRUE,TRUE,FALSE,FALSE,Jarvis Brownlee Jr.,Louisville,ACC,CB,CB25,5SR,2,63%,18%,18%,1%,65,5103,194,900,31.25,7528,1.62,4.51,--,--,--,--,--,07.13.01,22.8,5.44,-1.01,6.45,4.43,4.4,4.4,4.7,,4.2,4.1,6.6,,4.0,4.61,3.3
149,6,5th-6,TRUE,TRUE,TRUE,TRUE,FALSE,Josh Newton,TCU,Big 12,CB,CB26,6SR,2,77%,6%,16%,0%,70,5105,190,0928,31.125,7428,1.59,4.51,15,7.01,4.15,34,1004,09.14.00,23.6,5.43,-0.47,5.90,4.96,5.0,5.0,5.5,,6.8,7.5,2.5,,1.2,6.4,2.8
176,6,6th,TRUE,FALSE,FALSE,FALSE,FALSE,Qwan'tez Stiggers,Toronto (CFL),,CB,CB27,4SR,,,,,,,5116,204,,30.5,,1.52,4.45,,,,,,,,5.20,NA,5.20,,,,,,,,,,,9.34,
UDFA,6,6th,TRUE,TRUE,FALSE,TRUE,FALSE,Christian Roland-Wallace,USC,Pac-12,CB,CB28,5SR,17,80%,8%,10%,0%,70,5114,202,0900,32.5,7700,1.60,4.63,17,--,--,--,--,11.23.01,22.4,5.17,0.77,4.40,5.95,5.9,5.9,6.3,,7.2,6.3,5.7,,5.2,4.99,8.9
229,6,6th-7th,TRUE,TRUE,FALSE,TRUE,FALSE,M.J. Devonshire,Pittsburgh,ACC,CB,CB29,5SR,12,88%,5%,6%,0%,114,5106,186,868,32.875,7868,1.54,4.45,--,7.12,4.35,38.5,1004,09.12.00,23.6,5.03,-0.47,5.50,4.57,4.6,4.6,4.8,,5.8,2.0,3.8,,1.2,6.61,10.6
157,7,6th-7th,TRUE,TRUE,TRUE,FALSE,FALSE,Chau Smith-Wade,Washington State,Pac-12,CB,CB30,4JR,6,85%,1%,5%,1%,51,5096,184,918,30.25,7238,1.56,4.54,18,7.05,4.32,34.5,1005,09.17.02,21.6,4.95,-0.35,5.30,4.61,4.6,4.6,4.6,,5.1,2.7,5.1,,7.9,5.98,-1.1
UDFA,7,6th-7th,TRUE,TRUE,FALSE,TRUE,FALSE,Josh Wallace,Michigan,Big Ten,CB,CB31,5SR,12,80%,10%,9%,1%,49,5111,186,878,31.25,7558,1.58,4.68,13,--,4.35,34.5,1000,07.05.00,23.8,4.90,0.53,4.37,5.44,5.4,5.4,5.7,,7.7,4.8,7.5,,0.6,3.74,3.3
UDFA,7,6th-7th,TRUE,FALSE,FALSE,FALSE,FALSE,Willie Drew,Virginia State,,CB,CB32,6SR,,,,,,,5115,191,,32,,1.54,4.46,,,,,,,,4.90,NA,4.90,,,,,,,,,,,,
137,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Tarheeb Still,Maryland,Big Ten,CB,CB33,4SR,,83%,6%,9%,0%,,5115,188,918,29.625,7318,1.54,4.49,--,--,--,38,1000,06.09.02,21.9,4.82,-0.18,5.00,4.65,4.6,4.6,4.6,,3.6,4.0,5.2,,7.0,7.74,-3.9
180,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Marcellas Dial,South Carolina,SEC,CB,CB34,5SR,,92%,1%,5%,0%,,5116,190,878,32,7758,1.56,4.46,--,--,--,40.5,1009,12.06.00,23.4,4.82,0.22,4.60,5.04,5.0,5.0,5.3,,4.4,6.2,4.4,,2.0,7.18,6.7
227,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Myles Harden,South Dakota,FCS,CB,CB35,4JR,,81%,3%,7%,0%,,5107,195,0938,29.875,7400,1.52,4.50,13,6.88,3.98,35.5,910,12.13.01,22.4,4.79,-0.96,5.75,3.84,3.8,3.8,3.8,,5.6,0.0,1.8,,5.4,8.3,-2.8
UDFA,7,7th,TRUE,FALSE,FALSE,TRUE,TRUE,Ja'Quan Sheppard,Maryland,Big Ten,CB,CB36,5SR,,86%,5%,8%,1%,,6016,199,,30.625,,1.57,4.62,,,,,,04.12.01,23.1,4.74,0.42,4.31,5.16,5.2,5.7,6.0,,7.5,7.5,5.6,,3.1,4.92,0.6
219,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Daequan Hardy,Penn State,Big Ten,CB,CB37,5SR,25,30%,54%,7%,3%,30,5093,179,818,30,7078,1.53,4.38,--,--,--,42.5,1006,06.13.01,22.9,4.70,-0.10,4.80,4.61,4.9,4.9,5.1,,5.3,4.6,4.5,,3.7,8.15,-2.2
153,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Deantre Prince,Mississippi,SEC,CB,CB38,5SR,,90%,1%,8%,0%,,6000,183,0848,30.75,7368,1.55,4.38,--,--,--,34.5,1005,10.12.00,23.6,4.66,-0.04,4.70,4.62,4.6,4.6,4.9,,4.8,2.6,7.1,,1.5,6.63,1.1
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Myles Sims,Georgia Tech,ACC,CB,CB39,6SR,,92%,3%,5%,0%,,6025,188,,34,,1.46,4.48,,,,,,07.14.00,23.8,4.59,0.59,4.00,5.19,5.2,5.8,6.4,,7.3,3.7,5.2,,0.6,8.16,15.6
UDFA,7,7th-PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Isaiah Johnson,Syracuse,ACC,CB,CB40,6SR,,89%,1%,6%,0%,,6030,206,878,32.875,8048,1.61,4.62,--,--,--,38.5,1009,03.29.00,24.1,4.58,0.29,4.29,4.87,4.9,4.9,5.4,,3.9,2.4,8.4,,-0.3,7.91,10.6
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Jarius Monroe,Tulane,AAC,CB,CB41,5SR,2,88%,1%,6%,2%,106,6006,201,0878,32,7718,1.62,4.64,,,,,,10.06.00,23.6,4.56,0.39,4.17,4.96,5.0,5.5,5.8,,8.0,4.0,8.0,,1.4,2.94,6.7
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,TRUE,Chigozie Anusiem,Colorado State,Mountain West,CB,CB42,6SR,,90%,3%,4%,1%,,6011,200,0848,32.25,7900,1.57,4.39,,,,,,11.05.00,23.5,4.36,-0.39,4.75,3.96,4.0,4.4,4.9,,2.4,4.9,4.7,,1.7,8.88,7.8
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Miles Battle,Utah,Pac-12,CB,CB43,6SR,,88%,9%,3%,0%,,6032,196,,32.125,,1.60,4.37,,,,,,01.04.00,24.3,4.27,0.15,4.11,4.42,4.4,4.9,5.5,,4.6,4.7,4.6,,-1.1,9.5,7.2
201,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Micah Abraham,Marshall,,CB,CB44,5SR,,,,,,,5096,185,,30.75,,1.55,4.43,,,,,,,,4.20,NA,4.20,,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,TRUE,A.J. Woods,Pittsburgh,ACC,CB,CB45,5SR,9,69%,12%,16%,0%,56,5101,187,0848,30.5,7158,1.48,4.39,,,,,,03.28.01,23.1,4.08,0.00,4.09,4.08,4.1,4.5,4.8,,4.8,2.4,4.0,,3.0,9.47,0.0
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,TRUE,Storm Duck,Louisville,ACC,CB,CB46,5SR,29,90%,4%,5%,0%,64,6002,195,,32.125,,1.55,4.42,,,,,,12.15.00,23.4,4.07,0.04,4.03,4.11,4.1,4.6,4.8,,3.9,3.8,2.4,,2.1,9.55,7.2
UDFA,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Johnny Dixon,Penn State,Big Ten,CB,CB47,5SR,3,69%,8%,12%,3%,60,5106,188,0858,29.5,7200,DNP,DNP,--,--,--,--,--,01.03.01,23.3,4.01,-1.09,5.10,2.92,2.9,2.9,3.1,,3.5,0.0,2.7,,2.2,8,-4.4
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Beanie Bishop Jr.,West Virginia,Big 12,CB,CB48,6SR,,90%,0%,8%,0%,,5091,180,0928,30.75,7200,1.50,4.39,,,,,,12.17.99,24.4,4.00,-0.50,4.50,3.49,3.5,3.9,4.3,,4.2,4.2,4.7,,-1.3,6.3,1.1
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,TRUE,Ryan Cooper,Oregon State,Pac-12,CB,CB49,4SR,1,36%,49%,12%,3%,54,5112,186,868,30.5,7158,1.64,4.65,--,--,--,--,--,,23.0,3.99,-0.15,4.14,3.84,3.8,3.8,3.8,,5.8,2.4,5.9,,3.3,1.35,0.0
UDFA,UDFA,UDFA,TRUE,TRUE,TRUE,FALSE,TRUE,Carlton Johnson,Fresno State,Mountain West,CB,CB50,6SR,2,92%,1%,6%,0%,36,5105,175,0800,30.375,7318,1.57,4.28,--,--,--,--,--,,24.0,3.96,-0.59,4.55,3.37,3.5,3.5,3.9,,3.8,4.4,6.7,,0.0,3.06,-0.6
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Ro Torrence,Arizona State,Pac-12,CB,CB51,5SR,9,88%,1%,7%,0%,110,6027,206,848,34.125,8028,1.66,4.69,--,--,--,--,--,04.01.01,23.1,3.96,-0.39,4.34,3.57,3.6,3.6,3.8,,2.8,3.5,4.1,,3.0,2.19,16.1
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Keni-H Lovely,Western Michigan,#N/A,CB,CB52,6SR,,79%,4%,9%,5%,,5100,182,,30.5,,1.58,4.37,,,,,,05.12.00,24.0,3.89,-0.37,4.26,3.52,3.5,3.9,4.3,,4.7,1.3,5.7,,0.1,7.68,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tyrek Funderburk,Appalachian St.,Sun Belt,CB,CB53,6SR,,94%,1%,3%,1%,,5110,186,,30.625,,1.53,4.39,,,,,,11.28.00,23.4,3.84,-0.21,4.06,3.63,3.6,4.0,4.5,,3.9,1.3,6.8,,1.9,7.83,0.6
195,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Ryan Watts,Texas,Big 12,CB,CB54,4SR,,84%,2%,13%,1%,,6026,208,938,34.5,8168,1.55,4.53,--,6.82,4.13,40.5,1005,,,3.50,-1.50,5.00,2.01,2.0,2.0,2.0,,1.5,2.0,1.3,,0.0,,17.8
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Willie Roberts,Louisiana Tech,C-USA,CB,CB55,5SR,,79%,4%,7%,2%,,,,,,,,,,,,,,,,3.44,NA,,3.44,4.0,4.5,4.7,,7.7,4.4,7.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Alex Johnson,UCLA,Pac-12,CB,CB56,6SR,,1%,71%,18%,7%,,,,,,,,,,,,,,,,3.27,NA,,3.27,3.8,4.3,4.7,,7.1,5.3,7.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jai Roe,Long Island,#N/A,CB,CB57,5SR,,26%,50%,20%,0%,,,,,,,,,,,,,,07.02.01,22.8,3.12,NA,,3.12,3.7,4.1,4.3,,9.0,0.0,6.9,,3.9,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Morice Norris Jr.,Fresno State,Mountain West,CB,CB58,6SR,,5%,69%,12%,0%,,,,,,,,,,,,,,,,3.11,NA,,3.11,3.7,4.1,4.5,,6.7,8.8,3.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Thomas Harper,Notre Dame,Ind.,CB,CB59,5SR,,5%,81%,5%,7%,,,,,,,,,,,,,,,,3.08,-1.12,4.20,1.97,2.3,2.6,2.7,,3.2,3.1,5.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Myles Jones,Duke,ACC,CB,CB60,7SR,,92%,1%,5%,2%,,,,,,,,,,,,,,,,3.05,NA,,3.05,3.6,4.0,4.7,,7.8,2.6,9.0,,0.0,,0.0
