ov,Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos Played,Pos,Class,#,OCB%,Slot%,Box%,FS%,Press Snaps,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Size Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Overall Coverage,Man,Zone,Tackling,Age,RAS,Length Scaled
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Davon Ferguson,Bowling Green,MAC,CB,CB61,6SR,,5%,57%,26%,1%,,,,,,,,,,,,,,,,3.03,NA,,3.03,3.6,4.0,4.4,,8.1,2.7,7.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Yahsyn McKee,Miami (OH),MAC,CB,CB62,5SR,,93%,1%,3%,0%,,,,,,,,,,,,,,,,3.00,NA,,3.00,3.5,3.9,4.1,,6.4,4.0,7.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Zamari Walton,Mississippi,SEC,CB,CB63,6SR,,93%,0%,7%,0%,,,,,,,,,,,,,,,,2.91,NA,,2.91,3.4,3.8,4.2,,6.7,6.0,5.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shemar Bartholomew,Georgia Southern,Sun Belt,CB,CB64,6SR,,91%,6%,4%,0%,,,,,,,,,,,,,,,,2.88,NA,,2.88,3.4,3.8,4.2,,6.8,5.6,5.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malik Dunlap,Texas Tech,Big 12,CB,CB65,6SR,,87%,3%,9%,0%,,,,,,,,,,,,,,,,2.83,NA,,2.83,3.3,3.7,4.1,,5.9,4.7,7.0,,0.0,,0.0
226,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Jaden Davis,Miami,ACC,CB,CB66,5SR,,75%,15%,6%,2%,,,,,,,,,,,,,,,,2.76,NA,,2.76,3.2,3.6,3.8,,3.1,5.2,3.6,,0.0,5.49,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jae'Veyon Morton,Morgan State,#N/A,CB,CB67,6SR,,7%,77%,11%,2%,,,,,,,,,,,,,,,,2.75,NA,,2.75,3.2,3.6,4.0,,6.9,0.0,9.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Charles Woods,SMU,AAC,CB,CB68,6SR,,88%,2%,8%,1%,,,,,,,,,,,,,,,,2.73,NA,,2.73,3.2,3.6,4.0,,5.3,5.3,6.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sam Westfall,Virginia,ACC,CB,CB69,6SR,,94%,1%,5%,0%,,,,,,,,,,,,,,,,2.65,NA,,2.65,3.1,3.5,3.9,,7.2,2.9,5.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lance Robinson,Tulane,AAC,CB,CB70,6SR,,94%,2%,3%,1%,,,,,,,,,,,,,,,,2.57,NA,,2.57,3.0,3.4,3.7,,5.6,4.5,5.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kaleb Ford-Dement,Texas State,Sun Belt,CB,CB71,6SR,,84%,4%,8%,2%,,,,,,,,,,,,,,,,2.57,NA,,2.57,3.0,3.4,3.7,,4.9,4.0,7.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malik Feaster,Memphis,AAC,CB,CB72,6SR,,91%,4%,4%,0%,,,,,,,,,,,,,,,,2.53,NA,,2.53,3.0,3.3,3.7,,5.7,5.5,4.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marquis Wilson,Purdue,Big Ten,CB,CB73,5SR,,91%,7%,1%,0%,,,,,,,,,,,,,,,,2.51,NA,,2.51,3.0,3.3,3.5,,4.4,5.9,4.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Mikey Victor,Alabama State,#N/A,CB,CB74,6SR,,94%,0%,5%,0%,,6024,212,938,33.5,8058,,,,,,,,,,2.50,NA,,2.50,2.5,2.8,3.1,,8.1,0.0,0.0,,0.0,,13.3
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sheridan Jones,Clemson,ACC,CB,CB75,5SR,,84%,1%,12%,0%,,,,,,,,,,,,,,,,2.50,NA,,2.50,2.9,3.3,3.4,,5.3,3.4,5.8,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,DeJordan Mask,UCF,AAC,CB,CB76,5SR,,1%,67%,24%,0%,,,,,,,,,,,,,,,,2.50,NA,,2.50,2.9,3.3,3.4,,7.1,3.0,3.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Te'Cory Couch,Miami,ACC,CB,CB77,5SR,,3%,76%,11%,2%,,,,,,,,,,,,,,,,2.35,NA,,2.35,2.8,3.1,3.2,,3.9,5.3,4.9,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kalon Gervin,Kansas,Big 12,CB,CB78,6SR,,10%,74%,14%,1%,,,,,,,,,,,,,,,,2.29,NA,,2.29,2.7,3.0,3.3,,6.5,2.2,4.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Reddy Steward,Troy,Sun Belt,CB,CB79,5SR,2,90%,3%,7%,0%,46,,,,,,,,,,,,,,,2.28,NA,,2.28,2.7,3.0,3.1,,4.4,1.4,7.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nicktroy Fortune,UTSA,C-USA,CB,CB80,5SR,,91%,0%,8%,1%,,,,,,,,,,,,,,,,2.22,NA,,2.22,2.6,2.9,3.0,,4.1,2.8,6.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malachi Ruffin,West Virginia,Big 12,CB,CB81,6SR,,93%,2%,4%,1%,,,,,,,,,,,,,,,,2.21,NA,,2.21,2.6,2.9,3.2,,6.5,3.2,3.1,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Teldrick Ross,Middle Tennessee,C-USA,CB,CB82,6SR,,81%,5%,11%,3%,,,,,,,,,,,,,,,,2.20,NA,,2.20,2.6,2.9,3.2,,3.9,4.1,6.1,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jabari Moore,Army,Ind.,CB,CB83,5SR,,90%,0%,7%,0%,,,,,,,,,,,,,,,,2.18,NA,,2.18,2.6,2.8,3.0,,6.2,1.3,4.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Quinton Newsome,Nebraska,Big Ten,CB,CB84,5SR,,80%,6%,12%,0%,,,,,,,,,,,,,,,,2.16,NA,,2.16,2.5,2.8,3.0,,4.1,3.1,5.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Eric Smith,Florida A&M,#N/A,CB,CB85,6SR,,96%,1%,1%,1%,,,,,,,,,,,,,,,,2.14,NA,,2.14,2.5,2.8,3.1,,6.3,0.5,5.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shon Stephens,Ferris State,,CB,CB86,7SR,,,,,,,5085,173,,30.625,,1.54,4.40,,,,,,,,2.11,-2.11,4.23,0.00,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Gabe Jeudy-Lally,Tennessee,SEC,CB,CB87,5SR,,88%,2%,8%,1%,,,,,,,,,,,,,,,,2.08,NA,,2.08,2.4,2.7,2.9,,3.5,4.1,4.9,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bo Nicolas-Paul,Army,Ind.,CB,CB88,5SR,,89%,1%,7%,2%,,,,,,,,,,,,,,,,2.05,NA,,2.05,2.4,2.7,2.8,,5.0,0.4,6.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Damel Hickman,Georgia Southern,Sun Belt,CB,CB89,6SR,,94%,3%,3%,0%,,,,,,,,,,,,,,,,2.05,NA,,2.05,2.4,2.7,3.0,,3.9,2.2,6.9,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chris Mills,Texas State,Sun Belt,CB,CB90,6SR,,81%,9%,9%,0%,,,,,,,,,,,,,,,,2.04,NA,,2.04,2.4,2.7,3.0,,4.0,6.3,2.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jayden Price,North Dakota State,#N/A,CB,CB91,6SR,,78%,5%,10%,0%,,,,,,,,,,,,,,,,2.02,NA,,2.02,2.4,2.6,2.9,,4.9,5.1,2.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Noah Tumblin,San Diego State,Mountain West,CB,CB92,5SR,,90%,1%,8%,0%,,,,,,,,,,,,,,,,1.93,NA,,1.93,2.3,2.5,2.7,,3.5,5.5,2.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chris McDonald,Toledo,MAC,CB,CB93,5SR,,81%,12%,5%,2%,,,,,,,,,,,,,,,,1.91,NA,,1.91,2.2,2.5,2.6,,3.4,2.9,5.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Al Blades Jr.,Duke,ACC,CB,CB94,6SR,,86%,3%,9%,0%,,,,,,,,,,,,,,,,1.84,NA,,1.84,2.2,2.4,2.7,,3.0,7.3,1.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tre'Von Jones,Minnesota,Big Ten,CB,CB95,5SR,,87%,1%,9%,0%,,,,,,,,,,,,,,,,1.83,NA,,1.83,2.2,2.4,2.5,,3.0,4.7,3.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Daquan Evans,USF,AAC,CB,CB96,5SR,,3%,64%,13%,1%,,,,,,,,,,,,,,,,1.79,NA,,1.79,2.1,2.3,2.5,,2.9,4.1,4.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Oshai Fletcher,Troy,Sun Belt,CB,CB97,6SR,,90%,2%,5%,2%,,,,,,,,,,,,,,,,1.79,NA,,1.79,2.1,2.3,2.6,,3.4,3.4,4.5,,0.0,,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,TRUE,FALSE,FALSE,Keionte Scott,Auburn,SEC,CB,CB98,4SR,,10%,61%,20%,3%,,,,,,,,,,,,,,,,1.79,NA,,1.79,2.1,2.3,2.3,,3.3,3.8,2.9,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Armani Chatman,North Carolina,ACC,CB,CB99,6SR,,91%,1%,7%,1%,,,,,,,,,,,,,,,,1.76,NA,,1.76,2.1,2.3,2.6,,4.1,3.6,3.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Eddie Heckard,BYU,Ind.,CB,CB100,7SR,,20%,72%,6%,1%,,,,,,,,,,,,,,,,1.73,NA,,1.73,2.0,2.3,2.7,,4.4,2.2,4.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cam Allen,Purdue,Big Ten,CB,CB101,5SR,,4%,84%,6%,3%,,,,,,,,,,,,,,,,1.70,NA,,1.70,2.0,2.2,2.3,,2.7,3.5,4.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Rayshad Williams,Texas Tech,Big 12,CB,CB102,6SR,,84%,4%,10%,0%,,,,,,,,,,,,,,,,1.69,NA,,1.69,2.0,2.2,2.5,,3.6,1.7,5.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ray Williams,Howard,#N/A,CB,CB103,5SR,,81%,5%,12%,2%,,,,,,,,,,,,,,,,1.69,NA,,1.69,2.0,2.2,2.3,,4.1,0.7,4.8,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Samy Johnson,Arkansas State,Sun Belt,CB,CB104,5SR,,88%,1%,10%,0%,,,,,,,,,,,,,,,,1.68,NA,,1.68,2.0,2.2,2.3,,3.1,0.2,6.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Josh DeBerry,Texas A&M,SEC,CB,CB105,5SR,,67%,17%,12%,1%,,,,,,,,,,,,,,,,1.66,NA,,1.66,2.0,2.2,2.3,,3.1,2.3,4.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Demarcus Governor,Northern Iowa,#N/A,CB,CB106,5SR,,84%,0%,10%,0%,,,,,,,,,,,,,,,,1.66,NA,,1.66,2.0,2.2,2.3,,6.1,0.1,2.1,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chris Megginson,SMU,AAC,CB,CB107,5SR,,92%,1%,6%,0%,,,,,,,,,,,,,,,,1.63,NA,,1.63,1.9,2.1,2.2,,4.2,0.6,4.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shyheim Battle,NC State,ACC,CB,CB108,5SR,7,88%,1%,11%,0%,23,,,,,,,,,,,,,,,1.60,NA,,1.60,1.9,2.1,2.2,,3.8,3.7,1.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Judson Tallandier II,Akron,MAC,CB,CB109,6SR,,89%,2%,9%,0%,,,,,,,,,,,,,,,,1.57,NA,,1.57,1.8,2.0,2.3,,3.7,0.8,5.1,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kym'Mani King,Florida A&M,#N/A,CB,CB110,5SR,,5%,72%,23%,0%,,,,,,,,,,,,,,,,1.56,NA,,1.56,1.8,2.0,2.1,,5.7,0.6,1.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Isaiah Avery,Portland State,#N/A,CB,CB111,6SR,,89%,1%,6%,0%,,,,,,,,,,,,,,,,1.54,NA,,1.54,1.8,2.0,2.2,,5.3,0.0,3.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Randall Harris,New Hampshire,#N/A,CB,CB112,6SR,,90%,1%,7%,1%,,,,,,,,,,,,,,,,1.54,NA,,1.54,1.8,2.0,2.2,,4.4,0.3,4.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Omari Hill-Robinson,Bethune-Cookman,#N/A,CB,CB113,5SR,,93%,0%,6%,0%,,,,,,,,,,,,,,,,1.50,NA,,1.50,1.8,2.0,2.1,,4.8,0.1,3.1,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nolan Johnson,Old Dominion,Sun Belt,CB,CB114,6SR,,91%,2%,4%,0%,,,,,,,,,,,,,,,,1.49,NA,,1.49,1.8,1.9,2.2,,3.1,1.8,4.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cameron Jones,Army,Ind.,CB,CB115,5SR,,90%,1%,8%,0%,,,,,,,,,,,,,,,,1.48,NA,,1.48,1.7,1.9,2.0,,3.2,0.9,4.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,D.J. Miller Jr.,Kent State,MAC,CB,CB116,6SR,,83%,4%,10%,0%,,,,,,,,,,,,,,,,1.44,NA,,1.44,1.7,1.9,2.1,,3.4,3.7,1.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kamden Garrett,BYU,Ind.,CB,CB117,5SR,,92%,4%,4%,0%,,,,,,,,,,,,,,,,1.43,NA,,1.43,1.7,1.9,2.0,,2.4,3.7,2.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jaden Dedman,Nevada,Mountain West,CB,CB118,6SR,,86%,2%,10%,2%,,,,,,,,,,,,,,,,1.43,NA,,1.43,1.7,1.9,2.1,,2.5,4.3,2.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cam Lampkin,Washington State,Pac-12,CB,CB119,5SR,,84%,1%,7%,3%,,,,,,,,,,,,,,,,1.42,NA,,1.42,1.7,1.9,2.0,,2.6,3.6,2.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Alex Hogan,Houston,AAC,CB,CB120,5SR,,60%,24%,15%,0%,,,,,,,,,,,,,,,,1.41,NA,,1.41,1.7,1.8,1.9,,3.5,0.7,3.8,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jason Maitre,Wisconsin,Big Ten,CB,CB121,6SR,,5%,84%,8%,1%,,,,,,,,,,,,,,,,1.41,NA,,1.41,1.7,1.8,2.0,,2.2,4.6,2.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Rod Gattison,Western Carolina,#N/A,CB,CB122,5SR,,88%,0%,10%,0%,,,,,,,,,,,,,,,,1.41,NA,,1.41,1.7,1.8,1.9,,4.9,0.0,2.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Dylan Wyatt,Arizona,Pac-12,CB,CB123,6SR,,86%,2%,8%,2%,,,,,,,,,,,,,,,,1.27,NA,,1.27,1.5,1.7,1.9,,3.8,1.7,1.8,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marquis Williams,Pitt,#N/A,CB,CB124,6SR,,93%,1%,2%,0%,,,,,,,,,,,,,,,,1.23,NA,,1.23,1.4,1.6,1.8,,2.7,1.5,3.4,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,C.J. Siegel,North Dakota,#N/A,CB,CB125,5SR,,78%,9%,9%,3%,,,,,,,,,,,,,,,,1.22,NA,,1.22,1.4,1.6,1.7,,4.1,0.0,2.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Demetries Ford,Arizona State,Pac-12,CB,CB126,5SR,,94%,0%,3%,0%,,,,,,,,,,,,,,,,1.22,NA,,1.22,1.4,1.6,1.7,,1.9,0.7,4.8,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Decorian Patterson,UCF,AAC,CB,CB127,6SR,,86%,4%,7%,0%,,,,,,,,,,,,,,,,1.21,NA,,1.21,1.4,1.6,1.8,,2.9,1.9,2.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jordan Oliver,Houston Christian,#N/A,CB,CB128,6SR,,90%,3%,3%,3%,,,,,,,,,,,,,,,,1.19,NA,,1.19,1.4,1.6,1.7,,5.8,0.0,0.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Alexander Smith,Wisconsin,Big Ten,CB,CB129,6SR,,83%,5%,11%,1%,,,,,,,,,,,,,,,,1.14,NA,,1.14,1.3,1.5,1.7,,1.1,2.1,4.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tayvonn Kyle,Virginia,ACC,CB,CB130,6SR,,2%,75%,19%,1%,,,,,,,,,,,,,,,,1.13,NA,,1.13,1.3,1.5,1.6,,2.6,2.3,1.9,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kwinton Lassiter,Kansas,Big 12,CB,CB131,6SR,,92%,2%,5%,0%,,,,,,,,,,,,,,,,1.11,NA,,1.11,1.3,1.5,1.6,,3.5,0.2,2.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Xavier Lanier,Tulsa,AAC,CB,CB132,6SR,,86%,1%,12%,0%,,,,,,,,,,,,,,,,0.91,NA,,0.91,1.1,1.2,1.3,,1.9,1.4,2.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,BJ Anderson,Vanderbilt,SEC,CB,CB133,6SR,,98%,1%,1%,1%,,,,,,,,,,,,,,,,0.80,NA,,0.80,0.9,1.0,1.2,,0.8,0.1,4.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Glenn Brown,Louisiana,Sun Belt,CB,CB134,6SR,,96%,0%,4%,0%,,,,,,,,,,,,,,,,0.79,NA,,0.79,0.9,1.0,1.1,,2.3,0.4,1.9,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brian George,Houston,AAC,CB,CB135,6SR,,91%,0%,7%,0%,,,,,,,,,,,,,,,,0.79,NA,,0.79,0.9,1.0,1.1,,1.8,0.9,2.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jaheem Hazel,Jackson State,#N/A,CB,CB136,5SR,,84%,6%,8%,0%,,,,,,,,,,,,,,,,0.73,NA,,0.73,0.9,1.0,1.0,,2.7,0.1,1.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cedric Anderson,Grambling State,#N/A,CB,CB137,6SR,,94%,1%,5%,0%,,,,,,,,,,,,,,,,0.72,NA,,0.72,0.8,0.9,1.0,,2.0,0.2,2.1,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chester Kimbrough,Michigan State,Big Ten,CB,CB138,5SR,,60%,26%,8%,1%,,,,,,,,,,,,,,,,0.67,NA,,0.67,0.8,0.9,0.9,,1.1,0.8,2.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brandon Codrington,North Carolina Central,#N/A,CB,CB139,5SR,,96%,0%,3%,0%,,,,,,,,,,,,,,,,0.63,NA,,0.63,0.7,0.8,0.9,,2.9,0.0,0.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Demetri Morsell,Southern,#N/A,CB,CB140,6SR,,87%,2%,6%,5%,,,,,,,,,,,,,,,,0.59,NA,,0.59,0.7,0.8,0.9,,2.9,0.0,0.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Byron Perkins,Hampton,#N/A,CB,CB141,6SR,,80%,3%,11%,0%,,,,,,,,,,,,,,,,0.28,NA,,0.28,0.3,0.4,0.4,,1.4,0.0,0.0,,0.0,,0.0