Pick Taken,Round Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final Data Grade,Combine/Senior/Shrine Adjust,Combine Grade,Year Grade,Raw Grade,Posistional Value ,Run Defense,Coverage,Pass Rush,RAS,Size,LOC,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.90,35%,45%,5%,10.0%,,0%,5%
69,2,2nd,TRUE,TRUE,FALSE,FALSE,FALSE,Junior Colson,Michigan,Big Ten,LB,LB1,3JR,,6022,238,938,3248,7748,DNP,DNP,--,--,--,,,12.06.02,21.4,7.25,0.10,7.15,7.35,7.35,7.4,7.4,6.7,,8.1,7.9,2.1,5,,,8.6
45,2,2nd,TRUE,TRUE,TRUE,TRUE,FALSE,Edgerrin Cooper,Texas A&M,SEC,LB,LB2,4SR,,6021,230,968,3400,8028,1.56,4.51,--,--,--,34.5,0910,11.17.01,22.5,7.13,0.05,7.08,7.18,7.18,7.2,7.2,7.2,,8,8,8.2,9.13,,,5.1
98,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Payton Wilson,NC State,ACC,LB,LB3,6SR,,6037,233,900,3048,7568,1.53,4.43,--,--,--,34.5,911.0,04.21.00,24.0,6.80,0.10,6.70,6.90,6.90,6.9,6.9,7.7,,8.5,9.5,5.8,9.89,,,-0.1
155,4,4th,TRUE,TRUE,FALSE,FALSE,FALSE,Jeremiah Trotter Jr.,Clemson,ACC,LB,LB4,3JR,,6000,228,928,3148,7468,DNP,DNP,21,7.13,4.4,--,--,12.24.02,21.4,6.27,0.02,6.25,6.29,6.99,7.0,7.0,6.4,,6.5,7.8,6.7,5,,,8.8
72,4,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,Trevin Wallace,Kentucky,SEC,LB,LB5,3JR,,6011,237,918,3258,7918,1.62,4.51,--,--,--,--,--,02.22.03,21.2,6.01,-0.70,6.71,5.31,5.31,5.3,5.3,4.8,,4.8,4.6,4.3,9.33,,,9.4
106,5,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,Cedric Gray,North Carolina,ACC,LB,LB6,4SR,,6014,234,900,3248,7838,1.58,4.64,17,--,--,35.5,1000.0,10.30.02,21.5,5.98,-0.32,6.30,5.67,5.67,5.7,5.7,5.7,,4.3,7.4,6.4,7.26,,,8.3
160,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Edefuan Ulofoshio,Washington,Pac-12,LB,LB7,6SR,,6004,236,928,3278,7958,1.58,4.56,--,--,--,39.5,1008,01.23.00,24.3,5.87,-0.13,6.00,5.73,5.73,5.7,5.7,6.4,,5.3,9.3,2.3,9.67,,,-0.9
148,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Tommy Eichenberg,Ohio State,Big Ten,LB,LB8,5SR,,6023,233,928,3158,7718,DNP,DNP,--,--,4.24,32.5,908,01.11.01,23.3,5.74,-0.76,6.50,4.99,4.99,5.0,5.0,5.3,,7.3,4.9,3.6,7.87,,,2.3
139,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Jordan Magee,Temple,AAC,LB,LB9,5SR,,6013,228,868,3200,7600,1.57,4.55,--,--,--,35.5,1004,03.24.01,23.1,5.74,-0.36,6.10,5.38,5.98,6.0,6.0,6.3,,6.4,7.5,5.4,9.6,,,3.0
183,5,5th-6,TRUE,TRUE,FALSE,TRUE,TRUE,Darius Muasau,UCLA,Pac-12,LB,LB10,5SR,,5117,225,948,3148,7468,1.61,4.70,--,--,--,36.5,0909,02.10.01,23.2,5.52,0.22,5.30,5.73,5.73,5.7,5.7,6.0,,6.1,7.9,6.3,5.73,,,2.6
143,6,6th,TRUE,TRUE,TRUE,TRUE,FALSE,J.D. Bertrand,Notre Dame,Ind.,LB,LB11,5SR,,6007,235,968,3058,7478,DNP,DNP,20,--,--,--,--,05.05.00,24.0,5.38,-0.32,5.70,5.07,5.07,5.1,5.1,5.3,,6.2,6.4,7.5,5,,,0.0
87,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,Marist Liufau,Notre Dame,Ind.,LB,LB12,5SR,,6021,234,978,3428,7938,1.64,4.64,--,--,--,--,--,02.09.01,23.2,5.30,-0.15,5.45,5.15,5.15,5.2,5.2,5.4,,4.3,8,4.6,5.63,,,2.6
118,6,6th,TRUE,TRUE,TRUE,TRUE,FALSE,Tyrice Knight,UTEP,C-USA,LB,LB13,6SR,,6004,233,928,3248,8038,1.59,4.63,21,7.25,4.40,34.5,0911,, ,5.19,-0.31,5.50,4.88,4.88,4.9,4.9,5.4,,7.2,5.9,2.3,7.41,,,0.0
175,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,Jaylan Ford,Texas,Big 12,LB,LB14,4SR,,6023,239,948,3168,7438,1.66,4.71,--,--,--,33.5,1001,11.28.01,22.4,5.15,-0.40,5.55,4.74,4.74,4.7,4.7,4.7,,6.9,3.4,4.7,8.3,,,5.2
UDFA,6,6th,TRUE,TRUE,FALSE,TRUE,FALSE,Curtis Jacobs,Penn State,Big Ten,LB,LB15,4SR,,6013,241,1028,3148,7768,1.57,4.58,18,--,--,35,1004,02.18.02,22.2,5.14,-0.66,5.80,4.48,4.48,4.5,4.5,4.5,,3.6,5.3,3.7,8.47,,,6.0
UDFA,6,6th-7th,TRUE,TRUE,FALSE,TRUE,FALSE,Easton Gibbs,Wyoming,Mountain West,LB,LB16,5SR,,6003,232,928,3038,7248,1.62,4.70,--,--,--,31.5,0901,04.29.01,23.0,5.10,0.58,4.52,5.68,5.68,5.7,5.7,6.0,,6.8,7.5,3.9,5.26,,,3.3
206,7,6th-7th,TRUE,TRUE,TRUE,TRUE,FALSE,Nathaniel Watson,Mississippi St.,SEC,LB,LB17,6SR,,6022,233,978,3278,8100,1.61,4.63,--,--,--,31,903.0,09.01.00,23.7,4.93,-0.32,5.25,4.60,4.60,4.6,4.6,5.1,,6.9,5.3,6.5,5.03,,,1.1
251,7,7th,TRUE,TRUE,FALSE,FALSE,FALSE,Tatum Bethune,Florida State,ACC,LB,LB18,5SR,,5114,227,1000,3238,7828,1.63,4.75,16,--,--,--,--,, ,4.78,0.22,4.56,4.99,4.99,5.0,5.0,5.3,,5.6,7.4,2.8,4.1,,,0.0
UDFA,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Steele Chambers,Ohio State,Big Ten,LB,LB19,5SR,,6006,229,928,3048,7358,1.68,4.75,--,7.13,4.23,33.5,0904,, ,4.73,-0.27,5.00,4.45,4.45,4.5,4.5,4.7,,4.3,7.2,0.0,4.64,,,0.0
240,7,7th,TRUE,TRUE,TRUE,FALSE,FALSE,Michael Barrett,Michigan,Big Ten,LB,LB20,6SR,,5113,232,848,3218,7800,1.64,4.70,--,--,--,--,--,12.21.99,24.4,4.71,-0.04,4.75,4.66,4.66,4.7,4.7,5.2,,6.2,6.5,6.8,3.83,,,-1.2
UDFA,UDFA,7th-PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Kalen DeLoach,Florida State,ACC,LB,LB21,5SR,,5114,210,858,3148,7478,1.57,4.47,--,--,--,30.5,911.0,, ,4.40,-0.20,4.60,4.20,4.20,4.2,4.2,4.4,,6.5,4,3.8,6.54,,,0.0
UDFA,UDFA,PFA,TRUE,TRUE,TRUE,TRUE,FALSE,Jontrey Hunter,Georgia State,Sun Belt,LB,LB22,6SR,,6017,236,900,3168,7678,1.71,4.91,--,--,--,32,903.0,06.01.00,23.9,4.37,-0.17,4.54,4.19,4.19,4.2,4.2,4.7,,4.2,7.2,3.8,2.6,,,0.3
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,TRUE,Dallas Gant,Toledo,MAC,LB,LB23,6SR,,6024,228,1000,3328,8058,1.63,4.68,,,,,,05.16.00,24.0,4.31,0.04,4.27,4.34,4.83,4.8,6.0,6.7,,8.8,8.1,1.6,6.36,,,0.1
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,TRUE,TRUE,Maema Njongmeta,Wisconsin,Big Ten,LB,LB24,5SR,,5116,228,938,3218,7828,1.68,4.78,--,--,4.66,--,--,, ,4.28,-0.12,4.40,4.16,4.63,4.6,4.6,4.9,,5.2,7,6.5,1.13,,,0.0
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bo Richer,Air Force,Mountain West,LB,LB25,5SR,,6007,248,978,3058,7568,1.56,4.56,,,,,,, ,4.20,NA,4.2,,,,,,,,,,,,,
91,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Ty'Ron Hopper,Missouri,SEC,LB,LB26,5SR,,6016,228,878,3138,7768,1.64,4.68,--,--,--,--,--,04.26.01,23.0,4.09,-1.66,5.75,2.43,2.70,2.7,2.7,2.8,,3.4,1.9,4.2,7.43,,,3.3
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Aaron Casey,Indiana,Big Ten,LB,LB27,6SR,,6007,230,938,3268,7778,1.62,4.69,16,--,--,30,909.0,06.12.00,23.9,3.75,-0.83,4.58,2.92,2.92,2.9,2.9,3.2,,4.8,2.9,3.4,4.32,,,0.4
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Winston Reid,Weber State,#N/A,LB,LB28,7SR,,5116,223,1000,3168,7638,1.62,4.61,,,,,,, ,3.71,-0.62,4.33,3.09,3.44,3.8,4.8,5.6,,8.5,5.3,5.5,6.03,,,0.0
188,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jamal Hill,Ole Miss,SEC,LB,LB29,5SR,,6000,216,868,3238,7868,1.61,4.45,,,,,,04.05.01,23.1,3.71,-0.36,4.07,3.34,3.34,3.7,4.6,4.9,,4.2,6.5,3.0,7.35,,,3.1
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Trevor Williams,Sam Houston State,#N/A,LB,LB30,6SR,,,,,,,,,,,,,,, ,3.41,NA,,3.41,3.79,4.2,5.3,5.8,,6.8,9,1.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,TRUE,FALSE,FALSE,Jackson Sirmon,California,Pac-12,LB,LB31,6SR,,,,,,,,,,,,,,, ,3.31,NA,,3.31,3.68,3.7,4.6,5.1,,7.4,6.7,1.6,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,B.J. Turner,North Carolina A&T,#N/A,LB,LB32,6Sr,,,,,,,,,,,,,,, ,3.29,NA,,3.29,3.66,4.1,5.1,5.6,,6.8,8.5,1.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Levelle Bailey,Fresno State,Mountain West,LB,LB33,5SR,,,,,,,,,,,,,,, ,3.29,NA,,3.29,3.65,3.7,4.6,4.8,,5.1,7.6,2.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Omar Speights,LSU,SEC,LB,LB34,5SR,,,,,,,,,,,,,,03.02.01,23.2,3.29,-0.61,3.90,2.67,2.97,3.3,4.1,4.3,,5.2,4.5,0.8,7.98,,,2.8
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joe Andreessen,Buffalo,MAC,LB,LB35,6SR,,,,,,,,,,,,,,, ,3.27,NA,,3.27,3.63,4.0,5.0,5.6,,8.4,6.7,5.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Colton Adams,Alabama State,#N/A,LB,LB36,5SR,,,,,,,,,,,,,,, ,3.22,NA,,3.22,3.58,4.0,5.0,5.2,,9.2,5,6.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brian Holloway,Texas State,Sun Belt,LB,LB37,6SR,,,,,,,,,,,,,,, ,3.21,NA,,3.21,3.57,4.0,5.0,5.5,,5,9.1,5.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Geoffrey Cantin-Arku,Memphis,AAC,LB,LB38,5SR,,,,,,,,,,,,,,, ,3.20,NA,,3.20,3.56,4.0,4.9,5.2,,7,6.9,4.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Jason Johnson,UCF,AAC,LB,LB39,5SR,,,,,,,,,,,,,,, ,3.13,NA,,3.13,3.48,3.5,4.4,4.6,,6.3,6.1,2.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Nick Jackson,Iowa,Big Ten,LB,LB40,5SR,,,,,,,,,,,,,,, ,3.13,NA,,3.13,3.48,3.9,4.8,5.1,,8.5,5.2,6.7,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Jackson Mitchell,UConn,Ind.,LB,LB41,5SR,,6013,225,948,3048,7600,1.68,4.83,,,,,,, ,3.09,-1.04,4.13,2.04,2.04,2.0,2.6,2.7,,4.2,2.9,4.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Isaiah Major,Florida A&M,#N/A,LB,LB42,5SR,,,,,,,,,,,,,,, ,3.05,NA,,3.05,3.39,3.8,4.7,5.0,,5.8,7.6,1.1,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jimmy Ciarlo,Army,Ind.,LB,LB43,4SR,,,,,,,,,,,,,,, ,2.98,NA,,2.98,3.31,3.7,4.6,4.6,,5.5,6.6,4.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Tyren Dupree,Liberty,Ind.,LB,LB44,6SR,,,,,,,,,,,,,,, ,2.96,NA,,2.96,3.28,3.6,4.6,5.1,,5.2,8.1,3.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joe Sparacio,Eastern Michigan,MAC,LB,LB45,6SR,,,,,,,,,,,,,,, ,2.92,NA,,2.92,3.24,3.6,4.5,5.0,,6.4,7.1,2.6,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chad Bailey,Missouri,SEC,LB,LB46,6SR,,,,,,,,,,,,,,, ,2.92,NA,,2.92,3.24,3.6,4.5,5.0,,7.1,6.7,1.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Yvandy Rigby,Temple,AAC,LB,LB47,6SR,,6007,239,958,3228,7800,1.5,4.61,,,,,,, ,2.92,-1.08,4.00,1.83,1.83,2.0,2.5,2.8,,1.8,5.4,1.6,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joshua Erling,Washington State,Pac-12,LB,LB48,6SR,,,,,,,,,,,,,,, ,2.91,NA,,2.91,3.23,3.6,4.5,5.0,,5.4,8.1,,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tyler Jackson,Northern Illinois,MAC,LB,LB49,6SR,,,,,,,,,,,,,,, ,2.89,NA,,2.89,3.21,3.6,4.5,5.0,,6.7,7,0.1,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Martell Irby,Arizona,Pac-12,LB,LB50,6SR,,,,,,,,,,,,,,, ,2.88,NA,,2.88,3.20,3.6,4.5,4.9,,5.8,7.6,0.9,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jett Johnson,Mississippi St.,SEC,LB,LB51,6SR,,,,,,,,,,,,,,, ,2.88,NA,,2.88,3.20,3.6,4.4,4.9,,6.6,6.7,3.1,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Qwahsin Townsel,Hampton,#N/A,LB,LB52,6SR,,,,,,,,,,,,,,, ,2.79,NA,,2.79,3.10,3.4,4.3,4.8,,8.2,4.9,4.9,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Eli Neal,Marshall,Sun Belt,LB,LB53,5SR,,,,,,,,,,,,,,, ,2.70,NA,,2.70,3.00,3.3,4.2,4.4,,6.4,5.2,5.7,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Deion Jennings,Rutgers,Big Ten,LB,LB54,6SR,,,,,,,,,,,,,,, ,2.68,NA,,2.68,2.98,3.3,4.1,4.6,,6.9,5.9,0.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Danny Abraham,Villanova,#N/A,LB,LB55,6SR,,,,,,,,,,,,,,, ,2.68,NA,,2.68,2.98,3.3,4.1,4.6,,4.4,7.7,2.0,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lee Kpogba,West Virginia,Big 12,LB,LB56,5SR,,,,,,,,,,,,,,, ,2.67,NA,,2.67,2.97,3.3,4.1,4.3,,6.8,5,3.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,DaRon Gilbert,Northern Illinois,MAC,LB,LB57,5SR,,,,,,,,,,,,,,, ,2.66,NA,,2.66,2.95,3.3,4.1,4.3,,4.4,7,2.1,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lawrence Richardson,Morgan State,#N/A,LB,LB58,4SR,,,,,,,,,,,,,,, ,2.65,NA,,2.65,2.94,3.3,4.1,4.1,,7.1,4.3,2.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Foday Jalloh,Lamar,#N/A,LB,LB59,6SR,,,,,,,,,,,,,,, ,2.62,NA,,2.62,2.91,3.2,4.0,4.5,,4.7,7.3,1.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Aaron Beasley,Tennessee,SEC,LB,LB60,5SR,,,,,,,,,,,,,,, ,2.59,NA,,2.59,2.88,3.2,4.0,4.2,,4.5,6.5,3.6,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ryan Ragone,Miami,ACC,LB,LB61,6SR,,,,,,,,,,,,,,, ,2.59,NA,,2.59,2.88,3.2,4.0,4.4,,5.6,6.6,,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ashanti Cistrunk,Ole Miss,SEC,LB,LB62,5SR,,,,,,,,,,,,,,, ,2.54,NA,,2.54,2.82,3.1,3.9,4.1,,7,4.6,1.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kane Patterson,Vanderbilt,SEC,LB,LB63,5SR,,,,,,,,,,,,,,, ,2.51,NA,,2.51,2.79,3.1,3.9,4.1,,4.7,6.3,1.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tristan Wheeler,Richmond,#N/A,LB,LB64,5SR,,,,,,,,,,,,,,, ,2.48,NA,,2.48,2.75,3.1,3.8,4.0,,7.4,3.9,2.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bryce Gallagher,Northwestern,Big Ten,LB,LB65,5SR,,,,,,,,,,,,,,, ,2.43,NA,,2.43,2.71,3.0,3.8,4.0,,5.6,5.4,0.1,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joe Heffernan,Duke,ACC,LB,LB66,6SR,,,,,,,,,,,,,,, ,2.43,NA,,2.43,2.70,3.0,3.8,4.2,,6.3,5.4,,,,,0.0
