Name,School,Position,Drafted By,Age,Height (FIIE),Weight (lbs.),Arm Length (inches),Hand Span (inches),Bench Press (reps),40-yard Dash (seconds),10-yard Split (seconds),20-yard Split (seconds),20-yard Shuttle (seconds),Three-cone Drill (seconds),Vertical Jump (inches),Broad Jump (FFII),RAS,Production
Eugene Asante,Auburn,LB,,,6005,223,30.25,8.25,21,4.48,1.52,,,,,,,6.20
Jeffrey Bassa,Oregon,LB,,,6011,232,31.375,9.25,21,4.63,1.59,,,7.34,38.5,0910,7.93,6.50
Carson Bruener,Washington,LB,,,6007,227,31.625,9.25,,4.58,1.57,,,,33.5,0911,8.20,6.40
Teddye Buchanan,California,LB,,,6017,233,31.375,9.375,26,4.60,1.59,,,,40.0,1005,9.77,6.10
Jihaad Campbell,Alabama,LB,,,6027,235,32.50,10.50,,4.52,1.53,,,,,1007,9.95,7.80
Barrett Carter,Clemson,LB,,,6001,231,32.125,9.25,,,,,4.41,,34.5,0908,,7.20
Power Echols,North Carolina,LB,,,5111,237,30.50,9.125,,4.73,1.59,,4.56,7.60,37.0,0907,4.64,6.00
Jay Higgins,Iowa,LB,,,5116,224,31.00,9.50,,4.82,1.64,,4.35,7.01,33.0,0902,3.61,7.20
Shemar James,Florida,LB,,,6010,222,31.50,8.50,,4.69,1.56,,4.27,7.09,32.0,0909,6.98,6.00
Jamon Dumas-Johnson,Kentucky,LB,,,6006,238,32.00,9.50,,,,,,,,,,6.40
Kobe King,Penn State,LB,,,6005,236,31.25,9.50,,,,,,,,,,6.90
Jack Kiser,Notre Dame,LB,,,6015,231,30.375,9.00,,,,,,,,,,6.50
Demetrius Knight Jr,South Carolina,LB,,,6015,235,32.50,10.00,22,4.58,1.58,,4.25,7.12,31.5,0910,8.52,7.10
Cody Lindenberg,Minnesota,LB,,,6021,236,32.625,9.00,,,,,,,,,,6.10
Nick Martin,Oklahoma State,LB,,,5115,221,31.625,9.25,,4.53,1.54,,,,38.0,1003,8.88,7.00
Bam Martin-Scott,South Carolina,LB,,,6016,231,32.00,8.625,,4.63,1.60,,4.53,7.26,33.5,1002,7.41,6.40
Francisco Mauigoa,Miami,LB,,,6014,233,31.625,10.25,,4.60,1.56,,4.24,7.15,35.0,1001,9.31,6.50
Jalen McLeod,Auburn,LB,,,6014,241,32.25,9.625,,,,,,,,,,6.20
Kain Medrano,UCLA,LB,,,6024,222,32.00,9.125,,4.46,,,,,38.0,1005,9.72,5.80
Smael Mondon Jr,Georgia,LB,,,6022,224,31.625,9.625,,4.58,1.52,,,,,1010,9.43,7.00
Collin Oliver,Oklahoma State,LB,,,6017,240,30.625,9.50,,4.56,1.57,,,,39.0,1006,,6.90
Chris Paul Jr,Ole Miss,LB,,,6007,222,29.75,9.375,,4.63,1.62,,,,36.0,0909,7.04,7.10
Tyreem Powell,Rutgers,LB,,,6045,239,34.50,9.00,,,,,,,,,,5.60
Karene Reid,Utah,LB,,,,,,,,,,,,,,,,6.10
Carson Schwesinger,UCLA,LB,,,6024,242,31.50,9.25,20,,,,,,39.5,,,8.10
Cody Simon,Ohio State,LB,,,6021,229,31.25,9.625,,,,,,,,,,6.60
Danny Stutsman,Oklahoma,LB,,,6032,233,32.125,9.00,,4.52,1.55,,,,34.0,,9.70,7.20
Jailin Walker,Indiana,LB,,,6005,218,,,,4.38,,,,,35.0,1007,,
Jalon Walker,Georgia,LB,,,6010,243,32.00,10.25,,,,,,,,,,7.10
Jackson Woodard,UNLV,LB,,,6020,234,31.00,9.00,21,,,,,,,,,7.00